TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_129,10,14,12,16,10,14,15,14,24,22,12,17,20,20,16,22
T_130,8,11,9,12,8,11,12,11,19,17,13,9,16,16,13,17
T_131,27,40,33,44,29,39,42,39,50,45,36,36,29,43,34,46
T_132,17,26,21,28,18,25,27,25,25,23,18,18,21,15,17,23
T_133,24,36,29,39,26,35,37,35,46,42,33,33,39,39,22,42
T_134,13,19,16,21,14,18,20,19,29,26,21,21,24,24,19,18
T_135,10,14,12,16,10,14,15,14,11,10,8,8,9,10,8,10
T_136,20,42,35,46,30,41,44,42,25,23,18,18,21,21,17,23
T_137,10,10,12,16,10,14,15,14,10,9,7,7,8,9,7,9
T_138,29,42,24,46,30,41,44,42,10,9,7,7,8,9,7,9
T_139,28,41,34,32,30,40,43,41,21,19,15,15,18,18,14,19
T_140,29,42,35,46,21,41,44,42,19,17,13,14,16,16,13,17
T_141,11,16,13,17,11,11,16,15,10,9,7,7,8,9,7,9
T_142,18,27,22,29,19,26,19,26,24,22,17,17,20,20,16,22
T_143,8,12,10,13,9,12,13,8,21,19,15,15,18,18,14,19
T_144,7,10,8,11,7,10,10,10,35,45,36,36,42,43,34,46
T_145,14,21,17,23,15,21,22,21,46,29,33,33,39,39,31,42
T_146,11,17,14,18,12,16,17,16,10,9,5,7,8,9,7,9
T_147,30,44,37,49,32,43,46,44,22,20,16,11,19,19,15,21
T_148,15,22,18,24,16,22,23,22,17,16,13,13,10,15,12,16
T_149,28,41,34,45,30,40,43,41,44,40,31,32,37,26,29,40
T_150,17,26,21,28,18,25,27,25,37,34,27,27,31,32,18,34
T_151,7,10,8,11,7,10,10,10,42,39,30,31,36,36,29,27
T_152,15,22,18,24,16,22,23,22,29,26,21,21,24,24,19,26
T_153,4,9,7,10,6,9,9,9,34,31,24,24,28,29,23,31
T_154,6,6,7,10,6,9,9,9,21,19,15,15,18,18,14,19
T_155,13,19,11,21,14,18,20,19,11,10,8,8,9,10,8,10
T_156,11,17,14,13,12,16,17,16,41,37,30,30,35,35,28,38
T_157,6,9,7,10,4,9,9,9,21,19,15,15,18,18,14,19
T_158,14,21,17,23,15,14,22,21,44,40,31,32,37,37,29,40
T_159,13,19,16,21,14,18,14,19,30,27,22,22,25,26,20,27
T_160,30,44,37,49,32,43,46,31,25,23,18,18,21,21,17,23
T_161,28,41,34,45,30,40,43,41,8,10,8,8,9,10,8,10
T_162,6,9,7,10,6,9,9,9,34,21,24,24,28,29,23,31
T_163,14,20,16,22,14,19,21,20,39,35,19,28,33,33,26,35
T_164,11,16,13,17,11,15,16,15,47,43,34,24,40,40,32,43
T_165,26,39,32,43,28,38,41,38,16,15,12,12,10,14,11,15
T_166,23,33,27,36,24,32,35,33,40,36,29,29,34,24,27,36
T_167,26,38,31,41,27,37,39,37,32,29,23,23,27,28,15,30
T_168,17,26,21,28,18,25,27,25,34,31,24,24,28,29,23,22
T_169,20,30,25,33,22,29,31,30,31,28,22,23,26,27,21,29
T_170,9,19,16,21,14,18,20,19,32,29,23,23,27,28,22,30
T_171,7,7,8,11,7,10,10,10,47,43,34,34,40,40,32,43
T_172,25,37,21,40,26,36,38,36,20,18,14,14,17,17,13,18
T_173,13,19,16,14,14,18,20,19,50,45,36,36,42,43,34,46
T_174,26,39,32,43,20,38,41,38,31,28,22,23,26,27,21,29
T_175,18,27,22,29,19,18,28,26,11,10,8,8,9,10,8,10
T_176,15,22,18,24,16,22,16,22,11,10,8,8,9,10,8,10
T_177,7,10,8,11,7,10,10,7,24,22,17,17,20,20,16,22
T_178,20,30,25,33,22,29,31,30,31,40,31,32,37,37,29,40
T_179,23,34,28,38,25,34,36,34,29,18,21,21,24,24,19,26
T_180,29,42,35,46,30,41,44,42,45,41,23,32,38,38,30,41
T_181,10,14,12,16,10,14,15,14,16,15,12,8,14,14,11,15
T_182,24,36,29,39,26,35,37,35,31,28,22,23,18,27,21,29
T_183,20,29,24,32,21,28,30,28,17,16,13,13,15,10,12,16
T_184,20,30,25,33,22,29,31,30,25,23,18,18,21,21,12,23
T_185,19,28,23,30,20,27,29,27,32,29,23,23,27,28,22,21
T_186,20,29,24,32,21,28,30,28,45,41,32,32,38,38,30,41
T_187,20,42,35,46,30,41,44,42,32,29,23,23,27,28,22,30
T_188,12,12,15,19,13,17,19,18,50,45,36,36,42,43,34,46
T_189,30,44,26,49,32,43,46,44,32,29,23,23,27,28,22,30
T_190,19,28,23,21,20,27,29,27,29,26,21,21,24,24,19,26
T_191,7,10,8,11,5,10,10,10,41,37,30,30,35,35,28,38
T_192,7,10,8,11,7,7,10,10,40,36,29,29,34,34,27,36
T_193,14,21,17,23,15,21,15,21,14,12,10,10,12,12,9,13
T_194,26,39,32,43,28,38,41,27,12,11,9,9,10,11,8,11
T_195,17,26,21,28,18,25,27,25,29,37,30,30,35,35,28,38
T_196,27,40,33,44,29,39,42,39,24,15,17,17,20,20,16,22
T_197,10,14,12,16,10,14,15,14,14,12,7,10,12,12,9,13
T_198,19,28,23,30,20,27,29,27,50,45,36,25,42,43,34,46
T_199,11,16,13,17,11,15,16,15,32,29,23,23,19,28,22,30
T_200,15,22,18,24,16,22,23,22,36,33,26,26,30,22,24,33
T_201,20,29,24,32,21,28,30,28,34,31,24,24,28,29,16,31
T_202,27,40,33,44,29,39,42,39,24,22,17,17,20,20,16,15
T_203,20,29,24,32,21,28,30,28,25,23,18,18,21,21,17,23
T_204,21,44,37,49,32,43,46,44,49,44,35,35,41,42,33,44
T_205,20,20,24,32,21,28,30,28,45,41,32,32,38,38,30,41
T_206,17,26,15,28,18,25,27,25,10,9,7,7,8,9,7,9
T_207,25,37,30,28,26,36,38,36,42,39,30,31,36,36,29,39
T_208,24,36,29,39,18,35,37,35,17,16,13,13,15,15,12,16
T_209,8,12,10,13,9,8,13,12,10,9,7,7,8,9,7,9
T_210,8,11,9,12,8,11,8,11,29,26,21,21,24,24,19,26
T_211,25,37,30,40,26,36,38,25,47,43,34,34,40,40,32,43
T_212,14,21,17,23,15,21,22,21,34,44,35,35,41,42,33,44
T_213,8,12,10,13,9,12,13,12,17,11,13,13,15,15,12,16
T_214,30,44,37,49,32,43,46,44,31,28,16,23,26,27,21,29
T_215,20,29,24,32,21,28,30,28,12,11,9,6,10,11,8,11
T_216,22,32,27,35,23,31,34,32,34,31,24,24,20,29,23,31
T_217,20,30,25,33,22,29,31,30,35,32,25,25,29,21,24,32
T_218,14,21,17,23,15,21,22,21,50,45,36,36,42,43,24,46
T_219,15,22,18,24,16,22,23,22,14,12,10,10,12,12,9,9
T_220,29,43,36,47,31,42,45,43,25,23,18,18,21,21,17,23
T_221,19,40,33,44,29,39,42,39,40,36,29,29,34,34,27,36
T_222,6,6,7,10,6,9,9,9,31,28,22,23,26,27,21,29
T_223,26,38,22,41,27,37,39,37,21,19,15,15,18,18,14,19
T_224,11,16,13,12,11,15,16,15,49,44,35,35,41,42,33,44
T_225,6,9,7,10,4,9,9,9,26,24,19,19,22,22,18,24
T_226,17,26,21,28,18,17,27,25,14,12,10,10,12,12,9,13
T_227,29,42,35,46,30,41,31,42,46,42,33,33,39,39,31,42
T_228,29,43,36,47,31,42,45,30,36,33,26,26,30,31,24,33
T_229,11,16,13,17,11,15,16,15,10,14,11,11,13,13,10,14
T_230,19,28,23,30,20,27,29,27,35,22,25,25,29,30,24,32
T_231,8,11,9,12,8,11,12,11,24,22,12,17,20,20,16,22
T_232,20,30,25,33,22,29,31,30,36,33,26,18,30,31,24,33
T_233,21,31,26,34,22,30,32,31,27,25,20,20,16,23,19,25
T_234,30,44,37,49,32,43,46,44,14,12,10,10,12,8,9,13
T_235,8,12,10,13,9,12,13,12,26,24,19,19,22,22,12,24
T_236,15,22,18,24,16,22,23,22,25,23,18,18,21,21,17,16
T_237,24,36,29,39,26,35,37,35,10,9,7,7,8,9,7,9
T_238,13,28,23,30,20,27,29,27,50,45,36,36,42,43,34,46
T_239,13,13,16,21,14,18,20,19,22,20,16,16,19,19,15,21
T_240,29,43,25,47,31,42,45,43,14,12,10,10,12,12,9,13
T_241,16,23,19,18,17,23,24,23,22,20,16,16,19,19,15,21
T_242,8,12,10,13,6,12,13,12,14,12,10,10,12,12,9,13
T_243,28,41,34,45,30,28,43,41,30,27,22,22,25,26,20,27
T_244,22,32,27,35,23,31,24,32,36,33,26,26,30,31,24,33
T_245,9,13,11,15,10,13,14,9,40,36,29,29,34,34,27,36
T_246,21,31,26,34,22,30,32,31,8,10,8,8,9,10,8,10
T_247,14,21,17,23,15,21,22,21,49,31,35,35,41,42,33,44
T_248,22,32,27,35,23,31,34,32,14,12,7,10,12,12,9,13
T_249,17,24,20,27,18,24,26,24,35,32,25,18,29,30,24,32
T_250,8,12,10,13,9,12,13,12,32,29,23,23,19,28,22,30
T_251,16,23,19,26,17,23,24,23,34,31,24,24,28,20,23,31
T_252,15,22,18,24,16,22,23,22,36,33,26,26,30,31,17,33
T_253,6,9,7,10,6,9,9,9,14,12,10,10,12,12,9,9
T_254,30,44,37,49,32,43,46,44,11,10,8,8,9,10,8,10
T_255,10,20,16,22,14,19,21,20,22,20,16,16,19,19,15,21
T_256,8,9,10,13,9,12,13,12,29,26,21,21,24,24,19,26
T_257,14,20,12,22,14,19,21,20,39,35,28,28,33,33,26,35
T_258,8,12,10,9,9,12,13,12,47,43,34,34,40,40,32,43
T_259,18,27,22,29,13,26,28,26,19,17,13,14,16,16,13,17
T_260,22,32,27,35,23,22,34,32,36,33,26,26,30,31,24,33
T_261,24,36,29,39,26,35,26,35,15,14,11,11,13,13,10,14
T_262,7,10,8,11,7,10,10,7,34,31,24,24,28,29,23,31
T_263,29,43,36,47,31,42,45,43,15,19,15,15,18,18,14,19
T_264,8,12,10,13,9,12,13,12,44,28,31,32,37,37,29,40
T_265,21,31,26,34,22,30,32,31,31,28,16,23,26,27,21,29
T_266,20,29,24,32,21,28,30,28,36,33,26,18,30,31,24,33
T_267,20,30,25,33,22,29,31,30,41,37,30,30,24,35,28,38
T_268,22,32,27,35,23,31,34,32,27,25,20,20,23,16,19,25
T_269,8,12,10,13,9,12,13,12,35,32,25,25,29,30,16,32
T_270,7,10,8,11,7,10,10,10,16,15,12,12,14,14,11,10
T_271,14,20,16,22,14,19,21,20,17,16,13,13,15,15,12,16
T_272,12,26,21,28,18,25,27,25,41,37,30,30,35,35,28,38
T_273,23,24,28,38,25,34,36,34,36,33,26,26,30,31,24,33
T_274,29,42,24,46,30,41,44,42,17,16,13,13,15,15,12,16
T_275,11,17,14,13,12,16,17,16,44,40,31,32,37,37,29,40
T_276,22,32,27,35,16,31,34,32,20,18,14,14,17,17,13,18
T_277,9,13,11,15,10,9,14,13,27,25,20,20,23,23,19,25
T_278,20,30,25,33,22,29,22,30,17,16,13,13,15,15,12,16
T_279,13,19,16,21,14,18,20,13,10,9,7,7,8,9,7,9
T_280,26,39,32,43,28,38,41,38,20,26,21,21,24,24,19,26
T_281,19,28,23,30,20,27,29,27,41,26,30,30,35,35,28,38
T_282,22,32,27,35,23,31,34,32,12,11,6,9,10,11,8,11
T_283,25,37,30,40,26,36,38,36,19,17,13,9,16,16,13,17
T_284,17,24,20,27,18,24,26,24,24,22,17,17,14,20,16,22
T_285,21,31,26,34,22,30,32,31,26,24,19,19,22,16,18,24
T_286,10,14,12,16,10,14,15,14,36,33,26,26,30,31,17,33
T_287,11,16,13,17,11,15,16,15,34,31,24,24,28,29,23,22
T_288,25,37,30,40,26,36,38,36,22,20,16,16,19,19,15,21
T_289,15,32,27,35,23,31,34,32,32,29,23,23,27,28,22,30
T_290,11,11,13,17,11,15,16,15,47,43,34,34,40,40,32,43
T_291,26,39,22,43,28,38,41,38,37,34,27,27,31,32,25,34
T_292,12,18,15,14,13,17,19,18,45,41,32,32,38,38,30,41
T_293,17,24,20,27,12,24,26,24,45,41,32,32,38,38,30,41
T_294,11,16,13,17,11,11,16,15,35,32,25,25,29,30,24,32
T_295,6,9,7,10,6,9,6,9,17,16,13,13,15,15,12,16
T_296,17,26,21,28,18,25,27,18,41,37,30,30,35,35,28,38
T_297,25,37,30,40,26,36,38,36,21,27,22,22,25,26,20,27
T_298,8,11,9,12,8,11,12,11,30,19,22,22,25,26,20,27
T_299,11,17,14,18,12,16,17,16,39,35,19,28,33,33,26,35
T_300,14,21,17,23,15,21,22,21,22,20,16,11,19,19,15,21
T_301,16,23,19,26,17,23,24,23,11,10,8,8,7,10,8,10
T_302,22,32,27,35,23,31,34,32,21,19,15,15,18,13,14,19
T_303,20,30,25,33,22,29,31,30,36,33,26,26,30,31,17,33
T_304,14,20,16,22,14,19,21,20,44,40,31,32,37,37,29,28
T_305,20,29,24,32,21,28,30,28,24,22,17,17,20,20,16,22
T_306,20,42,35,46,30,41,44,42,19,17,13,14,16,16,13,17
T_307,23,23,27,36,24,32,35,33,46,42,33,33,39,39,31,42
T_308,27,40,23,44,29,39,42,39,14,12,10,10,12,12,9,13
T_309,27,40,33,31,29,39,42,39,25,23,18,18,21,21,17,23
T_310,21,31,26,34,16,30,32,31,42,39,30,31,36,36,29,39
T_311,11,16,13,17,11,11,16,15,36,33,26,26,30,31,24,33
T_312,25,37,30,40,26,36,27,36,27,25,20,20,23,23,19,25
T_313,18,27,22,29,19,26,28,18,30,27,22,22,25,26,20,27
T_314,18,27,22,29,19,26,28,26,32,42,33,33,39,39,31,42
T_315,23,34,28,38,25,34,36,34,27,17,20,20,23,23,19,25
T_316,14,20,16,22,14,19,21,20,14,12,7,10,12,12,9,13
T_317,7,10,8,11,7,10,10,10,14,12,10,7,12,12,9,13
T_318,13,19,16,21,14,18,20,19,21,19,15,15,12,18,14,19
T_319,22,32,27,35,23,31,34,32,14,12,10,10,12,8,9,13
T_320,26,39,32,43,28,38,41,38,32,29,23,23,27,28,15,30
T_321,14,21,17,23,15,21,22,21,17,16,13,13,15,15,12,11
T_322,11,17,14,18,12,16,17,16,19,17,13,14,16,16,13,17
T_323,20,41,34,45,30,40,43,41,19,17,13,14,16,16,13,17
T_324,8,9,10,13,9,12,13,12,24,22,17,17,20,20,16,22
T_325,15,22,13,24,16,22,23,22,15,14,11,11,13,13,10,14
T_326,26,38,31,29,27,37,39,37,19,17,13,14,16,16,13,17
T_327,22,32,27,35,16,31,34,32,11,10,8,8,9,10,8,10
T_328,17,24,20,27,18,17,26,24,25,23,18,18,21,21,17,23
T_329,18,27,22,29,19,26,19,26,26,24,19,19,22,22,18,24
T_330,28,41,34,45,30,40,43,28,34,31,24,24,28,29,23,31
T_331,17,24,20,27,18,24,26,24,19,25,20,20,23,23,19,25
T_332,8,12,10,13,9,12,13,12,12,8,9,9,10,11,8,11
T_333,8,12,10,13,9,12,13,12,10,9,5,7,8,9,7,9
T_334,13,19,16,21,14,18,20,19,44,40,31,22,37,37,29,40
T_335,8,12,10,13,9,12,13,12,27,25,20,20,16,23,19,25
T_336,20,29,24,32,21,28,30,28,49,44,35,35,41,29,33,44
T_337,11,16,13,17,11,15,16,15,24,22,17,17,20,20,11,22
T_338,11,17,14,18,12,16,17,16,46,42,33,33,39,39,31,30
T_339,11,17,14,18,12,16,17,16,25,23,18,18,21,21,17,23
T_340,10,21,17,23,15,21,22,21,17,16,13,13,15,15,12,16
T_341,9,9,11,15,10,13,14,13,32,29,23,23,27,28,22,30
T_342,11,17,10,18,12,16,17,16,46,42,33,33,39,39,31,42
T_343,7,10,8,8,7,10,10,10,50,45,36,36,42,43,34,46
T_344,15,22,18,24,11,22,23,22,45,41,32,32,38,38,30,41
T_345,16,23,19,26,17,16,24,23,40,36,29,29,34,34,27,36
T_346,20,30,25,33,22,29,22,30,47,43,34,34,40,40,32,43
T_347,17,24,20,27,18,24,26,17,11,10,8,8,9,10,8,10
T_348,8,11,9,12,8,11,12,11,10,14,11,11,13,13,10,14
T_349,6,9,7,10,6,9,9,9,30,19,22,22,25,26,20,27
T_350,26,39,32,43,28,38,41,38,49,44,24,35,41,42,33,44
T_351,17,24,20,27,18,24,26,24,12,11,9,6,10,11,8,11
T_352,29,43,36,47,31,42,45,43,30,27,22,22,18,26,20,27
T_353,14,21,17,23,15,21,22,21,35,32,25,25,29,21,24,32
T_354,28,41,34,45,30,40,43,41,45,41,32,32,38,38,21,41
T_355,15,22,18,24,16,22,23,22,41,37,30,30,35,35,28,26
T_356,11,16,13,17,11,15,16,15,32,29,23,23,27,28,22,30
T_357,14,29,24,32,21,28,30,28,16,15,12,12,14,14,11,15
T_358,28,29,34,45,30,40,43,41,10,9,7,7,8,9,7,9
T_359,30,44,26,49,32,43,46,44,22,20,16,16,19,19,15,21
T_360,27,40,33,31,29,39,42,39,31,28,22,23,26,27,21,29
T_361,24,36,29,39,18,35,37,35,20,18,14,14,17,17,13,18
T_362,29,42,35,46,30,29,44,42,17,16,13,13,15,15,12,16
T_363,7,10,8,11,7,10,7,10,29,26,21,21,24,24,19,26
T_364,9,13,11,15,10,13,14,9,21,19,15,15,18,18,14,19
T_365,18,27,22,29,19,26,28,26,27,35,28,28,33,33,26,35
T_366,29,43,36,47,31,42,45,43,42,27,30,31,36,36,29,39
T_367,8,11,9,12,8,11,12,11,10,9,5,7,8,9,7,9
T_368,18,27,22,29,19,26,28,26,44,40,31,22,37,37,29,40
T_369,21,31,26,34,22,30,32,31,11,10,8,8,7,10,8,10
T_370,27,40,33,44,29,39,42,39,25,23,18,18,21,15,17,23
T_371,25,37,30,40,26,36,38,36,12,11,9,9,10,11,6,11
T_372,20,29,24,32,21,28,30,28,40,36,29,29,34,34,27,26
T_373,10,14,12,16,10,14,15,14,41,37,30,30,35,35,28,38
T_374,4,9,7,10,6,9,9,9,29,26,21,21,24,24,19,26
T_375,14,14,16,22,14,19,21,20,24,22,17,17,20,20,16,22
T_376,19,28,16,30,20,27,29,27,32,29,23,23,27,28,22,30
T_377,12,18,15,14,13,17,19,18,30,27,22,22,25,26,20,27
T_378,11,16,13,17,8,15,16,15,19,17,13,14,16,16,13,17
T_379,17,26,21,28,18,17,27,25,42,39,30,31,36,36,29,39
T_380,13,19,16,21,14,18,14,19,15,14,11,11,13,13,10,14
T_381,23,34,28,38,25,34,36,24,36,33,26,26,30,31,24,33
T_382,26,38,31,41,27,37,39,37,10,14,11,11,13,13,10,14
T_383,6,9,7,10,6,9,9,9,49,31,35,35,41,42,33,44
T_384,26,39,32,43,28,38,41,38,32,29,16,23,27,28,22,30
