TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31
T_43,14,21,17,23,15,21,22,21,35,22,25,25,29,30,24,32,48,44,32,46,37,32,30,44,48,46,28,48,50,37,32,48
T_44,13,19,16,21,14,18,20,19,20,18,10,14,17,17,13,18,41,37,27,39,32,27,26,37,41,39,34,28,42,31,27,41
T_45,8,12,10,13,9,12,13,12,29,26,21,15,24,24,19,26,29,26,19,28,22,19,18,26,29,28,24,29,21,22,19,29
T_46,24,36,29,39,26,35,37,35,20,18,14,14,12,17,13,18,17,15,11,16,13,11,11,15,17,16,14,17,17,9,11,17
T_47,29,42,35,46,30,41,44,42,37,34,27,27,31,22,25,34,38,35,25,37,30,25,24,35,38,37,32,38,40,30,18,39
T_48,21,31,26,34,22,30,32,31,10,9,7,7,8,9,5,9,11,10,7,10,8,7,7,10,11,10,9,11,11,8,7,8
T_49,18,27,22,29,19,26,28,26,35,32,25,25,29,30,24,22,48,44,32,46,37,32,30,44,48,46,40,48,50,37,32,48
T_50,27,40,33,44,29,39,42,39,37,34,27,27,31,32,25,34,32,42,30,44,36,30,29,42,45,44,38,45,47,35,31,46
T_51,21,44,37,49,32,43,46,44,30,27,22,22,25,26,20,27,20,13,13,20,16,13,13,19,20,20,17,20,21,16,14,21
T_52,16,16,19,26,17,23,24,23,29,26,21,21,24,24,19,26,42,39,19,40,33,28,27,38,42,40,35,42,44,32,28,42
T_53,24,36,21,39,26,35,37,35,29,26,21,21,24,24,19,26,25,23,17,17,20,17,16,23,25,24,21,25,26,19,17,25
T_54,28,41,34,32,30,40,43,41,35,32,25,25,29,30,24,32,10,9,6,9,5,6,6,9,10,9,8,10,10,7,6,10
T_55,7,10,8,11,5,10,10,10,12,11,9,9,10,11,8,11,26,24,17,25,21,12,17,24,26,25,22,26,27,20,18,27
T_56,11,16,13,17,11,11,16,15,27,25,20,20,23,23,19,25,18,17,12,17,14,12,8,16,18,17,15,18,19,14,12,18
T_57,26,39,32,43,28,38,28,38,12,11,9,9,10,11,8,11,16,14,10,15,12,10,10,10,16,15,13,16,16,12,10,16
T_58,24,36,29,39,26,35,37,25,35,32,25,25,29,30,24,32,10,9,6,9,7,6,6,9,7,9,8,10,10,7,6,10
T_59,21,31,26,34,22,30,32,31,32,42,33,33,39,39,31,42,34,31,22,32,26,22,21,31,33,23,28,33,35,26,23,34
T_60,12,18,15,19,13,17,19,18,35,22,25,25,29,30,24,32,36,33,24,35,28,24,23,33,36,35,21,36,37,28,24,36
T_61,17,26,21,28,18,25,27,25,31,28,16,23,26,27,21,29,25,23,17,24,20,17,16,23,25,24,21,18,26,19,17,25
T_62,12,18,15,19,13,17,19,18,39,35,28,20,33,33,26,35,35,32,23,33,27,23,22,32,35,33,29,35,25,27,23,35
T_63,23,33,27,36,24,32,35,33,42,39,30,31,25,36,29,39,43,40,28,42,34,28,27,39,43,41,36,43,45,23,29,43
T_64,6,9,7,10,6,9,9,9,30,27,22,22,25,18,20,27,10,9,6,9,7,6,6,9,10,9,8,10,10,7,5,10
T_65,21,31,26,34,22,30,32,31,41,37,30,30,35,35,19,38,25,23,17,24,20,17,16,23,25,24,21,25,26,19,17,18
T_66,23,33,27,36,24,32,35,33,22,20,16,16,19,19,15,14,12,11,8,12,9,8,8,11,12,12,10,12,12,9,8,12
T_67,18,27,22,29,19,26,28,26,36,33,26,26,30,31,24,33,9,12,9,13,10,9,8,12,13,13,11,13,14,10,9,13
T_68,12,26,21,28,18,25,27,25,34,31,24,24,28,29,23,31,14,9,9,14,11,9,9,13,14,14,12,14,15,11,10,14
T_69,17,18,21,28,18,25,27,25,35,32,25,25,29,30,24,32,24,22,11,23,19,16,15,22,24,23,20,24,25,19,16,24
T_70,21,31,18,34,22,30,32,31,39,35,28,28,33,33,26,35,23,21,15,15,18,15,14,21,23,22,19,23,24,18,15,23
T_71,8,11,9,9,8,11,12,11,39,35,28,28,33,33,26,35,20,19,13,20,11,13,13,19,20,20,17,20,21,16,14,21
T_72,17,24,20,27,12,24,26,24,30,27,22,22,25,26,20,27,18,17,12,17,14,8,11,16,18,17,15,18,19,14,12,18
T_73,8,11,9,12,8,8,12,11,25,23,18,18,21,21,17,23,14,13,9,14,11,9,6,13,14,14,12,14,15,11,10,14
T_74,21,31,26,34,22,30,23,31,20,18,14,14,17,17,13,18,47,43,31,45,37,31,30,30,47,45,39,47,49,36,31,47
T_75,28,41,34,45,30,40,43,28,50,45,36,36,42,43,34,46,35,32,23,33,27,23,22,32,24,33,29,35,36,27,23,35
T_76,21,31,26,34,22,30,32,31,30,39,30,31,36,36,29,39,19,18,13,18,15,13,12,18,19,13,16,19,20,15,13,19
T_77,19,28,23,30,20,27,29,27,30,19,22,22,25,26,20,27,22,20,14,21,17,14,14,20,22,21,13,22,22,17,14,22
T_78,23,34,28,38,25,34,36,34,17,16,9,13,15,15,12,16,12,11,8,12,9,8,8,11,12,12,10,8,12,9,8,12
T_79,26,38,31,41,27,37,39,37,40,36,29,20,34,34,27,36,37,34,24,36,29,25,24,34,37,36,31,37,27,29,25,37
T_80,18,27,22,29,19,26,28,26,11,10,8,8,7,10,8,10,23,21,15,22,18,15,14,21,23,22,19,23,24,12,15,23
T_81,25,37,30,40,26,36,38,36,50,45,36,36,42,30,34,46,16,14,10,15,12,10,10,14,16,15,13,16,16,12,7,16
T_82,14,20,16,22,14,19,21,20,47,43,34,34,40,40,22,43,12,11,8,12,9,8,8,11,12,12,10,12,12,9,8,8
T_83,22,32,27,35,23,31,34,32,21,19,15,15,18,18,14,14,43,40,28,42,34,28,27,39,43,41,36,43,45,33,29,43
T_84,20,30,25,33,22,29,31,30,44,40,31,32,37,37,29,40,19,25,18,27,22,18,17,25,27,26,23,27,29,21,18,28
T_85,15,31,26,34,22,30,32,31,26,24,19,19,22,22,18,24,38,25,25,37,30,25,24,35,38,37,32,38,40,30,26,39
T_86,23,24,28,38,25,34,36,34,10,9,7,7,8,9,7,9,20,19,9,20,16,13,13,19,20,20,17,20,21,16,14,21
T_87,23,34,20,38,25,34,36,34,27,25,20,20,23,23,19,25,16,14,10,10,12,10,10,14,16,15,13,16,16,12,10,16
T_88,18,27,22,20,19,26,28,26,19,17,13,14,16,16,13,17,46,42,30,44,25,30,29,42,45,44,38,45,47,35,31,46
T_89,15,22,18,24,11,22,23,22,16,15,12,12,14,14,11,15,16,14,10,15,12,7,10,14,16,15,13,16,16,12,10,16
T_90,12,18,15,19,13,12,19,18,10,9,7,7,8,9,7,9,46,42,30,44,36,30,20,42,45,44,38,45,47,35,31,46
T_91,30,44,37,49,32,43,32,44,35,32,25,25,29,30,24,32,44,41,29,43,35,29,28,28,44,43,37,44,46,34,30,45
T_92,26,38,31,41,27,37,39,26,37,34,27,27,31,32,25,34,46,42,30,44,36,30,29,42,32,44,38,45,47,35,31,46
T_93,18,27,22,29,19,26,28,26,18,24,19,19,22,22,18,24,17,15,11,16,13,11,11,15,17,11,14,17,17,13,11,17
T_94,11,16,13,17,11,15,16,15,36,23,26,26,30,31,24,33,29,26,19,28,22,19,18,26,29,28,17,29,30,22,19,29
T_95,24,36,29,39,26,35,37,35,45,41,23,32,38,38,30,41,13,12,9,13,10,9,8,12,13,13,11,9,14,10,9,13
T_96,7,10,8,11,7,10,10,10,10,9,7,5,8,9,7,9,11,10,7,10,8,7,7,10,11,10,9,11,8,8,7,11
T_97,30,44,37,49,32,43,46,44,26,24,19,19,15,22,18,24,23,21,15,22,18,15,14,21,23,22,19,23,24,12,15,23
T_98,29,42,35,46,30,41,44,42,12,11,9,9,10,7,8,11,18,17,12,17,14,12,11,16,18,17,15,18,19,14,8,18
T_99,13,19,16,21,14,18,20,19,14,12,10,10,12,12,6,13,48,44,32,46,37,32,30,44,48,46,40,48,50,37,32,34
T_100,26,39,32,43,28,38,41,38,15,14,11,11,13,13,10,10,24,22,16,23,19,16,15,22,24,23,20,24,25,19,16,24
T_101,16,23,19,26,17,23,24,23,25,23,18,18,21,21,17,23,31,41,29,43,35,29,28,40,44,43,37,44,46,34,30,45
T_102,4,9,7,10,6,9,9,9,24,22,17,17,20,20,16,22,28,18,18,27,22,18,17,25,27,26,23,27,29,21,18,28
T_103,17,17,20,27,18,24,26,24,21,19,15,15,18,18,14,19,11,10,5,10,8,7,7,10,11,10,9,11,11,8,7,11
T_104,11,17,10,18,12,16,17,16,19,17,13,14,16,16,13,17,24,22,16,16,19,16,15,22,24,23,20,24,25,19,16,24
T_105,10,14,12,11,10,14,15,14,15,14,11,11,13,13,10,14,10,9,6,9,5,6,6,9,10,9,8,10,10,7,6,10
T_106,6,9,7,10,4,9,9,9,49,44,35,35,41,42,33,44,10,9,6,9,7,4,6,9,10,9,8,10,10,7,6,10
T_107,21,31,26,34,22,21,32,31,36,33,26,26,30,31,24,33,20,19,13,20,16,13,9,19,20,20,17,20,21,16,14,21
T_108,23,33,27,36,24,32,24,33,20,18,14,14,17,17,13,18,18,17,12,17,14,12,11,11,18,17,15,18,19,14,12,18
T_109,16,23,19,26,17,23,24,16,22,20,16,16,19,19,15,21,10,9,6,9,7,6,6,9,7,9,8,10,10,7,6,10
T_110,22,32,27,35,23,31,34,32,9,11,9,9,10,11,8,11,23,21,15,22,18,15,14,21,23,15,19,23,24,18,15,23
T_111,27,40,33,44,29,39,42,39,39,25,28,28,33,33,26,35,20,19,13,20,16,13,13,19,20,20,12,20,21,16,14,21
T_112,6,9,7,10,6,9,9,9,24,22,12,17,20,20,16,22,48,44,32,46,37,32,30,44,48,46,40,33,50,37,32,48
T_113,16,23,19,26,17,23,24,23,16,15,12,8,14,14,11,15,44,41,29,43,35,29,28,40,44,43,37,44,32,34,30,45
T_114,8,11,9,12,8,11,12,11,12,11,9,9,7,11,8,11,10,9,6,9,7,6,6,9,10,9,8,10,10,5,6,10
T_115,8,12,10,13,9,12,13,12,45,41,32,32,38,27,30,41,22,20,14,21,17,14,14,20,22,21,18,22,22,17,10,22
T_116,9,13,11,15,10,13,14,13,29,26,21,21,24,24,14,26,17,15,11,16,13,11,11,15,17,16,14,17,17,13,11,12
T_117,15,22,18,24,16,22,23,22,40,36,29,29,34,34,27,26,42,39,28,40,33,28,27,38,42,40,35,42,44,32,28,42
T_118,14,21,17,23,15,21,22,21,21,19,15,15,18,18,14,19,25,33,24,35,28,24,23,33,36,35,30,36,37,28,24,36
T_119,9,19,16,21,14,18,20,19,16,15,12,12,14,14,11,15,41,26,27,39,32,27,26,37,41,39,34,41,42,31,27,41
T_120,11,12,14,18,12,16,17,16,47,43,34,34,40,40,32,43,28,25,13,27,22,18,17,25,27,26,23,27,29,21,18,28
T_121,9,13,8,15,10,13,14,13,16,15,12,12,14,14,11,15,32,30,21,22,25,21,21,30,32,31,27,32,34,25,22,33
T_122,29,43,36,33,31,42,45,43,47,43,34,34,40,40,32,43,20,19,13,20,11,13,13,19,20,20,17,20,21,16,14,21
T_123,22,32,27,35,16,31,34,32,46,42,33,33,39,39,31,42,11,10,7,10,8,5,7,10,11,10,9,11,11,8,7,11
T_124,12,18,15,19,13,12,19,18,47,43,34,34,40,40,32,43,40,36,26,38,31,26,18,36,39,38,33,39,41,31,27,40
T_125,14,20,16,22,14,19,15,20,17,16,13,13,15,15,12,16,20,19,13,20,16,13,13,13,20,20,17,20,21,16,14,21
T_126,8,11,9,12,8,11,12,8,30,27,22,22,25,26,20,27,42,39,28,40,33,28,27,38,29,40,35,42,44,32,28,42
T_127,23,34,28,38,25,34,36,34,10,12,10,10,12,12,9,13,29,26,19,28,22,19,18,26,29,19,24,29,30,22,19,29
T_128,14,21,17,23,15,21,22,21,11,7,8,8,9,10,8,10,24,22,16,23,19,16,15,22,24,23,14,24,25,19,16,24
T_129,10,14,12,16,10,14,15,14,24,22,12,17,20,20,16,22,11,10,7,10,8,7,7,10,11,10,9,8,11,8,7,11
T_130,8,11,9,12,8,11,12,11,19,17,13,9,16,16,13,17,32,30,21,31,25,21,21,30,32,31,27,32,24,25,22,33
T_131,27,40,33,44,29,39,42,39,50,45,36,36,29,43,34,46,37,34,24,36,29,25,24,34,37,36,31,37,39,20,25,37
T_132,17,26,21,28,18,25,27,25,25,23,18,18,21,15,17,23,46,42,30,44,36,30,29,42,45,44,38,45,47,35,21,46
T_133,24,36,29,39,26,35,37,35,46,42,33,33,39,39,22,42,16,14,10,15,12,10,10,14,16,15,13,16,16,12,10,11
T_134,13,19,16,21,14,18,20,19,29,26,21,21,24,24,19,18,38,35,25,37,30,25,24,35,38,37,32,38,40,30,26,39
T_135,10,14,12,16,10,14,15,14,11,10,8,8,9,10,8,10,22,29,21,30,24,21,20,28,31,30,26,31,32,24,21,31
T_136,20,42,35,46,30,41,44,42,25,23,18,18,21,21,17,23,32,21,21,31,25,21,21,30,32,31,27,32,34,25,22,33
T_137,10,10,12,16,10,14,15,14,10,9,7,7,8,9,7,9,30,28,14,29,23,20,19,27,30,29,25,30,31,23,20,30
T_138,29,42,24,46,30,41,44,42,10,9,7,7,8,9,7,9,31,29,21,21,24,21,20,28,31,30,26,31,32,24,21,31
T_139,28,41,34,32,30,40,43,41,21,19,15,15,18,18,14,19,46,42,30,44,25,30,29,42,45,44,38,45,47,35,31,46
T_140,29,42,35,46,21,41,44,42,19,17,13,14,16,16,13,17,19,18,13,18,15,9,12,18,19,18,16,19,20,15,13,19
T_141,11,16,13,17,11,11,16,15,10,9,7,7,8,9,7,9,48,44,32,46,37,32,21,44,48,46,40,48,50,37,32,48
T_142,18,27,22,29,19,26,19,26,24,22,17,17,20,20,16,22,30,28,20,29,23,20,19,19,30,29,25,30,31,23,20,30
T_143,8,12,10,13,9,12,13,8,21,19,15,15,18,18,14,19,11,10,7,10,8,7,7,10,8,10,9,11,11,8,7,11
T_144,7,10,8,11,7,10,10,10,35,45,36,36,42,43,34,46,11,10,7,10,8,7,7,10,11,7,9,11,11,8,7,11
T_145,14,21,17,23,15,21,22,21,46,29,33,33,39,39,31,42,23,21,15,22,18,15,14,21,23,22,13,23,24,18,15,23
T_146,11,17,14,18,12,16,17,16,10,9,5,7,8,9,7,9,42,39,28,40,33,28,27,38,42,40,35,29,44,32,28,42
T_147,30,44,37,49,32,43,46,44,22,20,16,11,19,19,15,21,28,25,18,27,22,18,17,25,27,26,23,27,20,21,18,28
T_148,15,22,18,24,16,22,23,22,17,16,13,13,10,15,12,16,43,40,28,42,34,28,27,39,43,41,36,43,45,23,29,43
T_149,28,41,34,45,30,40,43,41,44,40,31,32,37,26,29,40,16,14,10,15,12,10,10,14,16,15,13,16,16,12,7,16
T_150,17,26,21,28,18,25,27,25,37,34,27,27,31,32,18,34,30,28,20,29,23,20,19,27,30,29,25,30,31,23,20,21
T_151,7,10,8,11,7,10,10,10,42,39,30,31,36,36,29,27,17,15,11,16,13,11,11,15,17,16,14,17,17,13,11,17
T_152,15,22,18,24,16,22,23,22,29,26,21,21,24,24,19,26,17,22,16,23,19,16,15,22,24,23,20,24,25,19,16,24
T_153,4,9,7,10,6,9,9,9,34,31,24,24,28,29,23,31,31,20,21,30,24,21,20,28,31,30,26,31,32,24,21,31
T_154,6,6,7,10,6,9,9,9,21,19,15,15,18,18,14,19,43,40,20,42,34,28,27,39,43,41,36,43,45,33,29,43
T_155,13,19,11,21,14,18,20,19,11,10,8,8,9,10,8,10,31,29,21,21,24,21,20,28,31,30,26,31,32,24,21,31
T_156,11,17,14,13,12,16,17,16,41,37,30,30,35,35,28,38,48,44,32,46,26,32,30,44,48,46,40,48,50,37,32,48
T_157,6,9,7,10,4,9,9,9,21,19,15,15,18,18,14,19,31,29,21,30,24,14,20,28,31,30,26,31,32,24,21,31
T_158,14,21,17,23,15,14,22,21,44,40,31,32,37,37,29,40,28,25,18,27,22,18,12,25,27,26,23,27,29,21,18,28
T_159,13,19,16,21,14,18,14,19,30,27,22,22,25,26,20,27,40,36,26,38,31,26,25,25,39,38,33,39,41,31,27,40
T_160,30,44,37,49,32,43,46,31,25,23,18,18,21,21,17,23,38,35,25,37,30,25,24,35,27,37,32,38,40,30,26,39
T_161,28,41,34,45,30,40,43,41,8,10,8,8,9,10,8,10,13,12,9,13,10,9,8,12,13,9,11,13,14,10,9,13
T_162,6,9,7,10,6,9,9,9,34,21,24,24,28,29,23,31,12,11,8,12,9,8,8,11,12,12,7,12,12,9,8,12
T_163,14,20,16,22,14,19,21,20,39,35,19,28,33,33,26,35,40,36,26,38,31,26,25,36,39,38,33,28,41,31,27,40
T_164,11,16,13,17,11,15,16,15,47,43,34,24,40,40,32,43,23,21,15,22,18,15,14,21,23,22,19,23,17,18,15,23
T_165,26,39,32,43,28,38,41,38,16,15,12,12,10,14,11,15,13,12,9,13,10,9,8,12,13,13,11,13,14,7,9,13
T_166,23,33,27,36,24,32,35,33,40,36,29,29,34,24,27,36,48,44,32,46,37,32,30,44,48,46,40,48,50,37,23,48
T_167,26,38,31,41,27,37,39,37,32,29,23,23,27,28,15,30,31,29,21,30,24,21,20,28,31,30,26,31,32,24,21,22
T_168,17,26,21,28,18,25,27,25,34,31,24,24,28,29,23,22,35,32,23,33,27,23,22,32,35,33,29,35,36,27,23,35
T_169,20,30,25,33,22,29,31,30,31,28,22,23,26,27,21,29,23,30,21,31,25,21,21,30,32,31,27,32,34,25,22,33
T_170,9,19,16,21,14,18,20,19,32,29,23,23,27,28,22,30,23,15,15,22,18,15,14,21,23,22,19,23,24,18,15,23
T_171,7,7,8,11,7,10,10,10,47,43,34,34,40,40,32,43,24,22,11,23,19,16,15,22,24,23,20,24,25,19,16,24
T_172,25,37,21,40,26,36,38,36,20,18,14,14,17,17,13,18,47,43,31,31,37,31,30,43,47,45,39,47,49,36,31,47
T_173,13,19,16,14,14,18,20,19,50,45,36,36,42,43,34,46,43,40,28,42,24,28,27,39,43,41,36,43,45,33,29,43
T_174,26,39,32,43,20,38,41,38,31,28,22,23,26,27,21,29,10,9,6,9,7,4,6,9,10,9,8,10,10,7,6,10
T_175,18,27,22,29,19,18,28,26,11,10,8,8,9,10,8,10,41,37,27,39,32,27,18,37,41,39,34,41,42,31,27,41
T_176,15,22,18,24,16,22,16,22,11,10,8,8,9,10,8,10,17,15,11,16,13,11,11,11,17,16,14,17,17,13,11,17
T_177,7,10,8,11,7,10,10,7,24,22,17,17,20,20,16,22,10,9,6,9,7,6,6,9,7,9,8,10,10,7,6,10
T_178,20,30,25,33,22,29,31,30,31,40,31,32,37,37,29,40,28,25,18,27,22,18,17,25,27,19,23,27,29,21,18,28
T_179,23,34,28,38,25,34,36,34,29,18,21,21,24,24,19,26,46,42,30,44,36,30,29,42,45,44,27,45,47,35,31,46
T_180,29,42,35,46,30,41,44,42,45,41,23,32,38,38,30,41,47,43,31,45,37,31,30,43,47,45,39,33,49,36,31,47
T_181,10,14,12,16,10,14,15,14,16,15,12,8,14,14,11,15,17,15,11,16,13,11,11,15,17,16,14,17,12,13,11,17
T_182,24,36,29,39,26,35,37,35,31,28,22,23,18,27,21,29,30,28,20,29,23,20,19,27,30,29,25,30,31,16,20,30
T_183,20,29,24,32,21,28,30,28,17,16,13,13,15,10,12,16,12,11,8,12,9,8,8,11,12,12,10,12,12,9,6,12
T_184,20,30,25,33,22,29,31,30,25,23,18,18,21,21,12,23,32,30,21,31,25,21,21,30,32,31,27,32,34,25,22,23
T_185,19,28,23,30,20,27,29,27,32,29,23,23,27,28,22,21,34,31,22,32,26,22,21,31,33,32,28,33,35,26,23,34
T_186,20,29,24,32,21,28,30,28,45,41,32,32,38,38,30,41,34,44,32,46,37,32,30,44,48,46,40,48,50,37,32,48
T_187,20,42,35,46,30,41,44,42,32,29,23,23,27,28,22,30,13,8,9,13,10,9,8,12,13,13,11,13,14,10,9,13
T_188,12,12,15,19,13,17,19,18,50,45,36,36,42,43,34,46,24,22,11,23,19,16,15,22,24,23,20,24,25,19,16,24
T_189,30,44,26,49,32,43,46,44,32,29,23,23,27,28,22,30,38,35,25,26,30,25,24,35,38,37,32,38,40,30,26,39
T_190,19,28,23,21,20,27,29,27,29,26,21,21,24,24,19,26,30,28,20,29,16,20,19,27,30,29,25,30,31,23,20,30
T_191,7,10,8,11,5,10,10,10,41,37,30,30,35,35,28,38,20,19,13,20,16,9,13,19,20,20,17,20,21,16,14,21
T_192,7,10,8,11,7,7,10,10,40,36,29,29,34,34,27,36,47,43,31,45,37,31,21,43,47,45,39,47,49,36,31,47
T_193,14,21,17,23,15,21,15,21,14,12,10,10,12,12,9,13,25,23,17,24,20,17,16,16,25,24,21,25,26,19,17,25
T_194,26,39,32,43,28,38,41,27,12,11,9,9,10,11,8,11,13,12,9,13,10,9,8,12,9,13,11,13,14,10,9,13
T_195,17,26,21,28,18,25,27,25,29,37,30,30,35,35,28,38,44,41,29,43,35,29,28,40,44,30,37,44,46,34,30,45
T_196,27,40,33,44,29,39,42,39,24,15,17,17,20,20,16,22,35,32,23,33,27,23,22,32,35,33,20,35,36,27,23,35
T_197,10,14,12,16,10,14,15,14,14,12,7,10,12,12,9,13,14,13,9,14,11,9,9,13,14,14,12,10,15,11,10,14
T_198,19,28,23,30,20,27,29,27,50,45,36,25,42,43,34,46,34,31,22,32,26,22,21,31,33,32,28,33,24,26,23,34
T_199,11,16,13,17,11,15,16,15,32,29,23,23,19,28,22,30,23,21,15,22,18,15,14,21,23,22,19,23,24,12,15,23
T_200,15,22,18,24,16,22,23,22,36,33,26,26,30,22,24,33,35,32,23,33,27,23,22,32,35,33,29,35,36,27,16,35
T_201,20,29,24,32,21,28,30,28,34,31,24,24,28,29,16,31,26,24,17,25,21,17,17,24,26,25,22,26,27,20,18,19
