TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31
T_89,34,41,28,33,20,28,31,29,25,32,26,26,22,24,24,24,26,21,30,24,24,22,21,26,23,20,32,25,26,30,31,26
T_90,16,20,14,16,14,9,15,14,33,42,34,34,29,32,31,31,8,6,9,8,8,9,5,8,7,6,10,8,8,9,9,8
T_91,9,11,8,9,8,8,6,8,8,10,8,8,7,7,7,7,32,25,36,30,30,38,26,23,28,24,40,31,32,37,38,32
T_92,35,42,29,34,29,28,32,21,10,12,10,10,8,9,9,9,27,21,31,25,25,32,22,27,17,21,34,26,27,31,32,27
T_93,20,24,16,19,16,16,18,17,17,31,25,25,21,23,23,23,27,21,31,25,25,32,22,27,24,14,34,26,27,31,32,27
T_94,33,40,27,32,27,27,30,29,32,29,33,33,28,31,30,30,23,18,26,22,22,27,19,23,20,18,20,22,23,26,27,23
T_95,13,16,11,13,11,11,12,12,38,50,28,40,34,37,37,36,25,20,28,24,24,30,21,25,22,19,31,17,25,29,29,25
T_96,22,26,18,21,18,18,20,19,21,27,22,15,18,21,20,20,12,9,14,11,11,14,10,12,11,9,15,12,8,14,14,12
T_97,34,41,28,33,28,28,31,29,21,27,22,22,13,21,20,20,15,12,17,14,14,18,12,15,13,11,19,14,15,12,18,15
T_98,12,15,10,12,10,10,11,11,24,31,25,25,21,16,23,23,29,23,33,27,27,34,24,29,26,22,36,28,29,33,24,29
T_99,10,12,8,10,9,8,9,9,24,31,25,25,21,23,16,23,34,27,39,32,32,40,28,34,30,26,42,33,34,39,40,24
T_100,38,46,31,37,31,31,35,33,11,15,12,12,10,11,11,8,12,9,14,11,11,14,10,12,11,9,15,12,12,14,14,12
T_101,31,37,25,30,26,25,28,27,16,21,17,17,14,16,16,15,6,7,10,8,8,11,7,9,8,7,11,9,9,10,11,9
T_102,29,50,34,40,34,33,37,36,30,39,31,31,26,29,28,28,14,8,16,13,13,17,11,14,12,11,17,13,14,16,16,14
T_103,12,10,10,12,10,10,11,11,25,32,26,26,22,24,24,24,8,6,6,8,8,9,7,8,7,6,10,8,8,9,9,8
T_104,41,50,24,40,34,33,37,36,37,49,39,39,33,37,36,36,34,27,39,22,32,40,28,34,30,26,42,33,34,39,40,34
T_105,27,32,22,18,22,22,24,23,31,40,32,32,27,30,29,29,27,21,31,25,18,32,22,27,24,21,34,26,27,31,32,27
T_106,35,42,29,34,20,28,32,30,33,42,34,34,29,32,31,31,27,21,31,25,25,22,22,27,24,21,34,26,27,31,32,27
T_107,8,10,7,8,7,5,7,7,12,16,13,13,11,12,12,12,21,17,24,20,20,25,12,21,19,16,26,20,21,24,25,21
T_108,10,12,8,10,9,8,7,9,19,25,20,20,17,19,18,18,24,19,27,23,23,28,20,17,21,18,30,23,24,28,28,24
T_109,26,31,21,25,21,21,23,16,37,49,39,39,33,37,36,36,40,32,46,38,38,47,33,40,25,31,50,38,40,46,47,40
T_110,34,41,28,33,28,28,31,29,10,19,15,15,13,14,14,14,23,18,26,22,22,27,19,23,20,12,29,22,23,26,27,23
T_111,41,50,34,40,34,33,37,36,15,14,16,16,13,15,15,15,26,21,30,24,24,31,21,26,23,20,23,25,26,30,31,26
T_112,23,27,19,22,19,18,21,20,17,22,13,18,15,17,17,16,31,24,35,29,29,37,25,31,27,24,38,21,31,36,36,31
T_113,23,27,19,22,19,18,21,20,33,44,35,24,29,33,32,32,33,26,38,31,31,39,27,33,29,25,41,32,23,38,39,33
T_114,26,31,21,25,21,21,23,22,22,29,23,23,14,22,21,21,18,14,21,17,17,21,15,18,16,14,22,17,18,14,21,18
T_115,26,31,21,25,21,21,23,22,10,12,10,10,8,7,9,9,35,28,40,33,33,42,29,35,31,27,43,34,35,40,29,35
T_116,12,15,10,12,10,10,11,11,25,32,26,26,22,24,17,24,38,30,43,36,36,45,31,38,34,29,47,36,38,44,45,26
T_117,18,21,14,17,14,14,16,15,32,41,33,33,28,31,30,21,25,20,28,24,24,30,21,25,22,19,31,24,25,29,29,25
T_118,32,39,26,31,26,26,29,28,19,25,20,20,17,19,18,18,6,6,9,8,8,9,7,8,7,6,10,8,8,9,9,8
T_119,19,32,22,26,22,22,24,23,21,27,22,22,18,21,20,20,36,20,41,34,34,43,30,36,32,27,45,35,36,41,42,36
T_120,40,34,33,39,33,33,36,35,38,50,40,40,34,37,37,36,22,17,18,21,21,26,18,22,19,17,27,21,22,25,26,22
T_121,33,40,19,32,27,27,30,29,25,32,26,26,22,24,24,24,13,10,15,9,12,15,11,13,12,10,16,12,13,15,15,13
T_122,35,42,29,24,29,28,32,30,8,10,8,8,7,7,7,7,23,18,26,22,15,27,19,23,20,18,29,22,23,26,27,23
T_123,13,16,11,13,8,11,12,12,31,40,32,32,27,30,29,29,16,13,18,15,15,13,13,16,14,12,20,15,16,18,19,16
T_124,21,25,17,20,17,12,19,18,26,34,27,27,23,25,25,25,30,24,34,28,28,36,17,30,27,23,37,29,30,34,35,30
T_125,40,49,33,39,33,33,25,35,26,34,27,27,23,25,25,25,36,28,41,34,34,43,30,25,32,27,45,35,36,41,42,36
T_126,15,19,13,15,13,13,14,9,22,29,23,23,19,22,21,21,24,19,27,23,23,28,20,24,15,18,30,23,24,28,28,24
T_127,16,20,14,16,14,13,15,14,17,31,25,25,21,23,23,23,28,22,32,26,26,33,23,28,25,15,35,27,28,32,33,28
T_128,19,22,15,18,15,15,17,16,11,10,12,12,10,11,11,11,29,23,33,27,27,34,24,29,26,22,25,28,29,33,34,29
T_129,36,44,30,35,30,29,33,31,14,19,10,15,13,14,14,14,36,28,41,34,34,43,30,36,32,27,45,24,36,41,42,36
T_130,24,29,20,23,20,19,21,21,28,36,29,20,24,27,27,26,9,7,10,8,8,11,7,9,8,7,11,9,6,10,11,9
T_131,10,12,8,10,9,8,9,9,33,42,34,34,20,32,31,31,37,29,42,35,35,44,30,37,33,28,46,36,37,30,43,37
T_132,27,32,22,26,22,22,24,23,11,15,12,12,10,8,11,11,23,18,26,22,22,27,19,23,20,18,29,22,23,26,19,23
T_133,34,41,28,33,28,28,31,29,9,11,9,9,8,8,6,8,37,29,42,35,35,44,30,37,33,28,46,36,37,42,43,26
T_134,21,25,17,20,17,17,19,18,13,17,14,14,12,13,13,9,18,14,21,17,17,21,15,18,16,14,22,17,18,21,21,18
T_135,23,27,19,22,19,18,21,20,8,10,8,8,7,7,7,7,27,30,43,36,36,45,31,38,34,29,47,36,38,44,45,38
T_136,29,50,34,40,34,33,37,36,33,42,34,34,29,32,31,31,27,15,31,25,25,32,22,27,24,21,34,26,27,31,32,27
T_137,27,23,22,26,22,22,24,23,26,34,27,27,23,25,25,25,28,22,22,26,26,33,23,28,25,21,35,27,28,32,33,28
T_138,8,10,5,8,7,7,7,7,26,34,27,27,23,25,25,25,15,12,17,10,14,18,12,15,13,11,19,14,15,17,18,15
T_139,33,40,27,22,27,27,30,29,20,26,21,21,18,20,19,19,31,24,35,29,20,37,25,31,27,24,38,30,31,36,36,31
T_140,28,34,23,27,16,23,25,24,23,30,24,24,20,22,22,22,21,17,24,20,20,17,17,21,19,16,26,20,21,24,25,21
T_141,28,34,23,27,23,16,25,24,38,50,40,40,34,37,37,36,16,13,18,15,15,19,9,16,14,12,20,15,16,18,19,16
T_142,24,29,20,23,20,19,15,21,22,29,23,23,19,22,21,21,10,8,11,9,9,12,8,7,9,8,12,10,10,11,12,10
T_143,26,31,21,25,21,21,23,16,25,32,26,26,22,24,24,24,34,27,39,32,32,40,28,34,21,26,42,33,34,39,40,34
T_144,12,15,10,12,10,10,11,11,21,39,31,31,26,29,28,28,26,21,30,24,24,31,21,26,23,14,32,25,26,30,31,26
T_145,15,19,13,15,13,13,14,13,32,29,33,33,28,31,30,30,10,8,11,9,9,12,8,10,9,8,9,10,10,11,12,10
T_146,30,36,25,29,25,24,27,26,17,22,13,18,15,17,17,16,30,24,34,28,28,36,25,30,27,23,37,20,30,34,35,30
T_147,35,42,29,34,29,28,32,30,33,44,35,24,29,33,32,32,40,32,46,38,38,47,33,40,35,31,50,38,28,46,47,40
T_148,12,15,10,12,10,10,11,11,36,47,38,38,22,36,35,35,8,6,9,8,8,9,7,8,7,6,10,8,8,6,9,8
T_149,9,11,8,9,8,8,8,8,24,31,25,25,21,16,23,23,40,32,46,38,38,47,33,40,35,31,50,38,40,46,33,40
T_150,14,17,12,14,12,12,13,13,8,10,8,8,7,7,5,7,28,22,32,26,26,33,23,28,25,21,35,27,28,32,33,19
T_151,8,10,7,8,7,7,7,7,34,45,36,36,30,34,33,23,32,25,36,30,30,38,26,32,28,24,40,31,32,37,38,32
T_152,35,42,29,34,29,28,32,30,21,27,22,22,18,21,20,20,27,31,44,37,37,46,32,39,35,30,48,37,39,45,46,39
T_153,19,34,23,27,23,23,25,24,12,16,13,13,11,12,12,12,17,9,19,16,16,20,14,17,15,13,21,16,17,20,20,17
T_154,28,24,23,27,23,23,25,24,22,29,23,23,19,22,21,21,12,9,10,11,11,14,10,12,11,9,15,12,12,14,14,12
T_155,22,26,12,21,18,18,20,19,15,20,16,16,13,15,15,15,18,14,21,12,17,21,15,18,16,14,22,17,18,21,21,18
T_156,25,30,20,17,20,20,22,21,29,37,30,30,25,28,28,27,36,28,41,34,24,43,30,36,32,27,45,35,36,41,42,36
T_157,41,50,34,40,24,33,37,36,34,45,36,36,30,34,33,33,36,28,41,34,34,30,30,36,32,27,45,35,36,41,42,36
T_158,24,29,20,23,20,13,21,21,23,30,24,24,20,22,22,22,27,21,31,25,25,32,16,27,24,21,34,26,27,31,32,27
T_159,27,32,22,26,22,22,17,23,27,35,28,28,24,26,26,26,14,11,16,13,13,17,11,10,12,11,17,13,14,16,16,14
T_160,32,39,26,31,26,26,29,19,28,36,29,29,24,27,27,26,29,23,33,27,27,34,24,29,18,22,36,28,29,33,34,29
T_161,34,41,28,33,28,28,31,29,24,45,36,36,30,34,33,33,13,10,15,12,12,15,11,13,12,7,16,12,13,15,15,13
T_162,19,22,15,18,15,15,17,16,9,8,9,9,8,8,8,8,8,6,9,8,8,9,7,8,7,6,7,8,8,9,9,8
T_163,36,44,30,35,30,29,33,31,35,46,26,37,31,35,34,34,40,32,46,38,38,47,33,40,35,31,50,27,40,46,47,40
T_164,39,47,32,38,32,32,35,34,22,29,23,16,19,22,21,21,24,19,27,23,23,28,20,24,21,18,30,23,17,28,28,24
T_165,26,31,21,25,21,21,23,22,35,46,37,37,22,35,34,34,18,14,21,17,17,21,15,18,16,14,22,17,18,14,21,18
T_166,8,10,7,8,7,7,7,7,17,22,18,18,15,12,17,16,14,11,16,13,13,17,11,14,12,11,17,13,14,16,12,14
T_167,37,45,31,36,31,30,34,32,36,47,38,38,32,36,24,35,36,28,41,34,34,43,30,36,32,27,45,35,36,41,42,25
T_168,23,27,19,22,19,18,21,20,26,34,27,27,23,25,25,17,34,27,39,32,32,40,28,34,30,26,42,33,34,39,40,34
T_169,13,16,11,13,11,11,12,12,27,35,28,28,24,26,26,26,10,11,16,13,13,17,11,14,12,11,17,13,14,16,16,14
T_170,17,29,20,23,20,19,21,21,14,19,15,15,13,14,14,14,20,11,23,19,19,24,16,20,18,15,25,19,20,23,23,20
T_171,16,14,14,16,14,13,15,14,30,39,31,31,26,29,28,28,9,7,7,8,8,11,7,9,8,7,11,9,9,10,11,9
T_172,31,37,18,30,26,25,28,27,20,26,21,21,18,20,19,19,9,7,10,6,8,11,7,9,8,7,11,9,9,10,11,9
T_173,37,45,31,25,31,30,34,32,15,20,16,16,13,15,15,15,15,12,17,14,10,18,12,15,13,11,19,14,15,17,18,15
T_174,25,30,20,24,14,20,22,21,10,12,10,10,8,9,9,9,8,6,9,8,8,7,7,8,7,6,10,8,8,9,9,8
T_175,29,35,24,28,24,16,26,25,33,42,34,34,29,32,31,31,35,28,40,33,33,42,20,35,31,27,43,34,35,40,41,35
T_176,30,36,25,29,25,24,19,26,25,32,26,26,22,24,24,24,24,19,27,23,23,28,20,17,21,18,30,23,24,28,28,24
T_177,37,45,31,36,31,30,34,23,10,12,10,10,8,9,9,9,26,21,30,24,24,31,21,26,16,20,32,25,26,30,31,26
T_178,9,11,8,9,8,8,8,8,20,37,30,30,25,28,28,27,15,12,17,14,14,18,12,15,13,8,19,14,15,17,18,15
T_179,38,46,31,37,31,31,35,33,38,35,40,40,34,37,37,36,22,17,25,21,21,26,18,22,19,17,19,21,22,25,26,22
T_180,24,29,20,23,20,19,21,21,8,10,6,8,7,7,7,7,16,13,18,15,15,19,13,16,14,12,20,11,16,18,19,16
T_181,38,46,31,37,31,31,35,33,38,50,40,28,34,37,37,36,29,23,33,27,27,34,24,29,26,22,36,28,20,33,34,29
T_182,19,22,15,18,15,15,17,16,27,35,28,28,16,26,26,26,16,13,18,15,15,19,13,16,14,12,20,15,16,13,19,16
T_183,39,47,32,38,32,32,35,34,31,40,32,32,27,21,29,29,12,9,14,11,11,14,10,12,11,9,15,12,12,14,10,12
T_184,28,34,23,27,23,23,25,24,37,49,39,39,33,37,25,36,24,19,27,23,23,28,20,24,21,18,30,23,24,28,28,17
T_185,29,35,24,28,24,23,26,25,16,21,17,17,14,16,16,11,22,17,25,21,21,26,18,22,19,17,27,21,22,25,26,22
T_186,15,19,13,15,13,13,14,13,11,15,12,12,10,11,11,11,20,22,32,26,26,33,23,28,25,21,35,27,28,32,33,28
T_187,22,39,26,31,26,26,29,28,17,22,18,18,15,17,17,16,34,19,39,32,32,40,28,34,30,26,42,33,34,39,40,34
T_188,22,18,18,21,18,18,20,19,34,45,36,36,30,34,33,33,21,17,17,20,20,25,17,21,19,16,26,20,21,24,25,21
T_189,16,20,10,16,14,13,15,14,34,45,36,36,30,34,33,33,17,13,19,11,16,20,14,17,15,13,21,16,17,20,20,17
T_190,10,12,8,7,9,8,9,9,26,34,27,27,23,25,25,25,20,16,23,19,13,24,16,20,18,15,25,19,20,23,23,20
T_191,35,42,29,34,20,28,32,30,13,17,14,14,12,13,13,13,35,28,40,33,33,29,29,35,31,27,43,34,35,40,41,35
T_192,27,32,22,26,22,15,24,23,28,36,29,29,24,27,27,26,35,28,40,33,33,42,20,35,31,27,43,34,35,40,41,35
T_193,10,12,8,10,9,8,7,9,12,16,13,13,11,12,12,12,17,13,19,16,16,20,14,12,15,13,21,16,17,20,20,17
T_194,31,37,25,30,26,25,28,19,8,10,8,8,7,7,7,7,27,21,31,25,25,32,22,27,17,21,34,26,27,31,32,27
T_195,41,50,34,40,34,33,37,36,27,50,40,40,34,37,37,36,19,15,22,18,18,23,16,19,17,10,24,18,19,22,22,19
T_196,8,10,7,8,7,7,7,7,23,21,24,24,20,22,22,22,13,10,15,12,12,15,11,13,12,10,11,12,13,15,15,13
T_197,41,50,34,40,34,33,37,36,17,22,13,18,15,17,17,16,20,16,23,19,19,24,16,20,18,15,25,13,20,23,23,20
T_198,29,35,24,28,24,23,26,25,13,17,14,10,12,13,13,13,20,16,23,19,19,24,16,20,18,15,25,19,14,23,23,20
T_199,33,40,27,32,27,27,30,29,34,45,36,36,21,34,33,33,18,14,21,17,17,21,15,18,16,14,22,17,18,14,21,18
T_200,40,49,33,39,33,33,36,35,33,42,34,34,29,22,31,31,13,10,15,12,12,15,11,13,12,10,16,12,13,15,11,13
T_201,18,21,14,17,14,14,16,15,13,17,14,14,12,13,9,13,23,18,26,22,22,27,19,23,20,18,29,22,23,26,27,16
