TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_114,38,34,34,47,33,29,45,32,37,36,25,26,22,36,26,27
T_115,23,21,20,29,20,18,27,19,42,40,28,29,35,28,29,30
T_116,9,8,8,11,8,7,11,8,29,28,20,20,24,28,14,21
T_117,15,14,13,19,13,11,18,13,23,22,16,16,20,22,16,12
T_118,18,16,16,22,15,14,21,15,29,28,20,20,24,28,20,21
T_119,27,34,34,47,33,29,45,32,25,23,17,17,21,24,17,18
T_120,17,11,15,21,15,13,20,14,39,37,26,26,32,37,27,28
T_121,14,13,9,17,12,11,16,12,32,30,21,22,26,30,22,23
T_122,19,17,17,17,16,15,22,16,11,10,7,7,9,10,7,8
T_123,33,30,29,41,20,25,39,28,45,42,30,30,37,43,31,32
T_124,33,30,29,41,28,18,39,28,47,44,32,32,39,45,32,34
T_125,27,24,24,34,23,21,22,23,11,10,7,7,9,10,7,8
T_126,40,36,35,50,34,31,47,23,34,32,23,23,28,33,23,24
T_127,35,32,31,43,30,27,41,29,22,30,21,22,26,30,22,23
T_128,34,31,30,42,29,26,40,28,18,12,12,12,15,17,12,13
T_129,29,26,26,36,25,22,34,24,47,44,22,32,39,45,32,34
T_130,32,29,28,40,28,25,38,27,47,44,32,22,39,45,32,34
T_131,36,32,32,45,31,28,42,30,32,30,21,22,18,30,22,23
T_132,25,23,22,31,21,19,29,21,45,42,30,30,37,30,31,32
T_133,20,18,18,25,17,15,24,17,41,39,28,28,34,39,20,29
T_134,25,23,22,31,21,19,29,21,32,30,21,22,26,30,22,16
T_135,21,19,19,26,18,16,25,18,18,17,12,12,15,17,12,13
T_136,23,30,29,41,28,25,39,28,32,30,21,22,26,30,22,23
T_137,27,17,24,34,23,21,32,23,35,33,24,24,29,34,24,25
T_138,9,8,6,11,8,7,11,8,23,22,16,16,20,22,16,17
T_139,38,34,34,33,33,29,45,32,46,43,31,31,38,44,32,33
T_140,40,36,35,50,24,31,47,33,20,19,13,14,17,19,14,14
T_141,9,8,8,11,8,5,11,8,28,27,19,19,23,27,19,20
T_142,29,26,26,36,25,22,24,24,42,40,28,29,35,40,29,30
T_143,27,24,24,34,23,21,32,16,42,40,28,29,35,40,29,30
T_144,15,14,13,19,13,11,18,13,27,37,26,26,32,37,27,28
T_145,40,36,35,50,34,31,47,33,32,21,21,22,26,30,22,23
T_146,40,36,35,50,34,31,47,33,22,21,11,15,19,21,15,16
T_147,27,24,24,34,23,21,32,23,14,13,9,7,12,13,10,10
T_148,38,34,34,47,33,29,45,32,33,31,22,22,19,31,23,24
T_149,35,32,31,43,30,27,41,29,18,17,12,12,15,12,12,13
T_150,27,24,24,34,23,21,32,23,22,21,15,15,19,21,11,16
T_151,15,14,13,19,13,11,18,13,22,21,15,15,19,21,15,11
T_152,27,24,24,34,23,21,32,23,30,29,21,21,25,29,21,22
T_153,21,27,27,37,26,23,35,25,20,19,13,14,17,19,14,14
T_154,20,13,18,25,17,15,24,17,39,37,26,26,32,37,27,28
T_155,39,35,24,48,34,30,46,33,18,17,12,12,15,17,12,13
T_156,17,15,15,15,15,13,20,14,29,28,20,20,24,28,20,21
T_157,24,22,21,30,14,18,28,20,29,28,20,20,24,28,20,21
T_158,36,32,32,45,31,19,42,30,20,19,13,14,17,19,14,14
T_159,36,32,32,45,31,28,30,30,9,9,6,6,8,9,6,7
T_160,33,30,29,41,28,25,39,19,19,18,13,13,16,18,13,13
T_161,27,24,24,34,23,21,32,23,33,44,32,32,39,45,32,34
T_162,19,17,17,24,16,15,22,16,25,16,17,17,21,24,17,18
T_163,12,11,11,15,10,9,14,10,45,42,21,30,37,43,31,32
T_164,28,25,25,35,24,21,33,23,11,10,7,5,9,10,7,8
T_165,15,14,13,19,13,11,18,13,46,43,31,31,27,44,32,33
T_166,19,17,17,24,16,15,22,16,42,40,28,29,35,28,29,30
T_167,19,17,17,24,16,15,22,16,40,38,27,27,33,38,19,29
T_168,26,23,23,32,22,20,31,22,27,26,18,18,22,26,19,14
T_169,17,15,15,21,15,13,20,14,21,20,14,14,18,20,15,15
T_170,23,30,29,41,28,25,39,28,43,41,29,30,36,41,30,31
T_171,15,9,13,19,13,11,18,13,19,18,13,13,16,18,13,13
T_172,25,23,15,31,21,19,29,21,46,43,31,31,38,44,32,33
T_173,25,23,22,22,21,19,29,21,19,18,13,13,16,18,13,13
T_174,17,15,15,21,10,13,20,14,40,38,27,27,33,38,27,29
T_175,8,7,7,10,7,4,9,7,19,18,13,13,16,18,13,13
T_176,16,14,14,20,14,12,13,13,21,20,14,14,18,20,15,15
T_177,40,36,35,50,34,31,47,23,9,9,6,6,8,9,6,7
T_178,21,19,19,26,18,16,25,18,15,20,14,14,18,20,15,15
T_179,38,34,34,47,33,29,45,32,41,27,28,28,34,39,28,29
T_180,9,8,8,11,8,7,11,8,26,24,12,18,21,25,18,18
T_181,39,35,34,48,34,30,46,33,40,38,27,19,33,38,27,29
T_182,36,32,32,45,31,28,42,30,35,33,24,24,21,34,24,25
T_183,34,31,30,42,29,26,40,28,21,20,14,14,18,14,15,15
T_184,23,21,20,29,20,18,27,19,11,10,7,7,9,10,5,8
T_185,18,16,16,22,15,14,21,15,14,13,9,10,12,13,10,7
T_186,37,33,33,46,32,28,44,31,29,28,20,20,24,28,20,21
T_187,11,14,14,20,14,12,19,13,19,18,13,13,16,18,13,13
T_188,39,25,34,48,34,30,46,33,20,19,13,14,17,19,14,14
T_189,16,14,10,20,14,12,19,13,42,40,28,29,35,40,29,30
T_190,34,31,30,30,29,26,40,28,14,13,9,10,12,13,10,10
T_191,16,14,14,20,10,12,19,13,29,28,20,20,24,28,20,21
T_192,18,16,16,22,15,10,21,15,40,38,27,27,33,38,27,29
T_193,8,7,7,10,7,6,7,7,14,13,9,10,12,13,10,10
T_194,18,16,16,22,15,14,21,11,36,34,24,25,30,35,25,26
T_195,35,32,31,43,30,27,41,29,28,38,27,27,33,38,27,29
T_196,22,20,19,27,19,17,26,18,34,23,23,23,28,33,23,24
T_197,34,31,30,42,29,26,40,28,43,41,20,30,36,41,30,31
T_198,30,27,27,37,26,23,35,25,12,11,8,6,10,11,8,8
T_199,18,16,16,22,15,14,21,15,18,17,12,12,10,17,12,13
T_200,9,8,8,11,8,7,11,8,41,39,28,28,34,27,28,29
T_201,12,11,11,15,10,9,14,10,15,14,10,10,13,15,7,11
T_202,25,23,22,31,21,19,29,21,14,13,9,10,12,13,10,7
T_203,16,14,14,20,14,12,19,13,14,13,9,10,12,13,10,10
T_204,12,15,15,21,15,13,20,14,47,44,32,32,39,45,32,34
T_205,36,23,32,45,31,28,42,30,22,21,15,15,19,21,15,16
T_206,12,11,7,15,10,9,14,10,40,38,27,27,33,38,27,29
T_207,25,23,22,22,21,19,29,21,23,22,16,16,20,22,16,17
T_208,34,31,30,42,20,26,40,28,19,18,13,13,16,18,13,13
T_209,12,11,11,15,10,6,14,10,19,18,13,13,16,18,13,13
T_210,31,28,27,39,27,24,26,26,33,31,22,22,27,31,23,24
T_211,34,31,30,42,29,26,40,20,20,19,13,14,17,19,14,14
T_212,29,26,26,36,25,22,34,24,24,32,23,23,28,33,23,24
T_213,37,33,33,46,32,28,44,31,19,12,13,13,16,18,13,13
T_214,10,9,9,12,9,8,12,8,22,21,11,15,19,21,15,16
T_215,15,14,13,19,13,11,18,13,23,22,16,11,20,22,16,17
T_216,35,32,31,43,30,27,41,29,42,40,28,29,25,40,29,30
T_217,13,12,11,16,11,10,15,11,12,11,8,8,10,8,8,8
T_218,12,11,11,15,10,9,14,10,46,43,31,31,38,44,22,33
T_219,12,11,11,15,10,9,14,10,18,17,12,12,15,17,12,9
T_220,40,36,35,50,34,31,47,33,27,26,18,18,22,26,19,19
T_221,13,17,17,24,16,15,22,16,39,37,26,26,32,37,27,28
T_222,34,21,30,42,29,26,40,28,34,32,23,23,28,33,23,24
T_223,20,18,12,25,17,15,24,17,15,14,10,10,13,15,11,11
T_224,16,14,14,14,14,12,19,13,12,11,8,8,10,11,8,8
T_225,16,14,14,20,10,12,19,13,34,32,23,23,28,33,23,24
T_226,28,25,25,35,24,15,33,23,29,28,20,20,24,28,20,21
T_227,17,15,15,21,15,13,14,14,13,12,9,9,11,12,9,9
T_228,29,26,26,36,25,22,34,17,32,30,21,22,26,30,22,23
T_229,16,14,14,20,14,12,19,13,32,43,31,31,38,44,32,33
T_230,19,17,17,24,16,15,22,16,12,8,8,8,10,11,8,8
T_231,20,18,18,25,17,15,24,17,26,24,12,18,21,25,18,18
T_232,36,32,32,45,31,28,42,30,22,21,15,11,19,21,15,16
T_233,10,9,9,12,9,8,12,8,29,28,20,20,17,28,20,21
T_234,39,35,34,48,34,30,46,33,16,16,11,11,14,11,11,12
T_235,15,14,13,19,13,11,18,13,46,43,31,31,38,44,22,33
T_236,23,21,20,29,20,18,27,19,42,40,28,29,35,40,29,21
T_237,33,30,29,41,28,25,39,28,23,22,16,16,20,22,16,17
T_238,20,26,26,36,25,22,34,24,22,21,15,15,19,21,15,16
T_239,13,8,11,16,11,10,15,11,11,10,7,7,9,10,7,8
T_240,10,9,6,12,9,8,12,8,42,40,28,29,35,40,29,30
T_241,29,26,26,25,25,22,34,24,21,20,14,14,18,20,15,15
T_242,25,23,22,31,15,19,29,21,45,42,30,30,37,43,31,32
T_243,11,10,10,14,9,6,13,9,34,32,23,23,28,33,23,24
T_244,27,24,24,34,23,21,22,23,45,42,30,30,37,43,31,32
T_245,39,35,34,48,34,30,46,23,37,36,25,26,31,36,26,27
T_246,10,9,9,12,9,8,12,8,16,21,15,15,19,21,15,16
T_247,22,20,19,27,19,17,26,18,41,27,28,28,34,39,28,29
T_248,19,17,17,24,16,15,22,16,29,28,14,20,24,28,20,21
T_249,25,23,22,31,21,19,29,21,23,22,16,11,20,22,16,17
T_250,14,13,12,17,12,11,16,12,36,34,24,25,21,35,25,26
T_251,39,35,34,48,34,30,46,33,46,43,31,31,38,31,32,33
T_252,36,32,32,45,31,28,42,30,11,10,7,7,9,10,5,8
T_253,20,18,18,25,17,15,24,17,47,44,32,32,39,45,32,24
T_254,19,17,17,24,16,15,22,16,19,18,13,13,16,18,13,13
T_255,6,8,8,11,8,7,11,8,40,38,27,27,33,38,27,29
T_256,36,23,32,45,31,28,42,30,36,34,24,25,30,35,25,26
T_257,18,16,11,22,15,14,21,15,35,33,24,24,29,34,24,25
T_258,38,34,34,33,33,29,45,32,41,39,28,28,34,39,28,29
T_259,29,26,26,36,17,22,34,24,29,28,20,20,24,28,20,21
T_260,38,34,34,47,33,20,45,32,28,27,19,19,23,27,19,20
T_261,32,29,28,40,28,25,26,27,47,44,32,32,39,45,32,34
T_262,19,17,17,24,16,15,22,11,23,22,16,16,20,22,16,17
T_263,35,32,31,43,30,27,41,29,26,36,25,26,31,36,26,27
T_264,25,23,22,31,21,19,29,21,46,30,31,31,38,44,32,33
T_265,20,18,18,25,17,15,24,17,18,17,8,12,15,17,12,13
T_266,31,28,27,39,27,24,36,26,40,38,27,19,33,38,27,29
T_267,39,35,34,48,34,30,46,33,14,13,9,10,8,13,10,10
T_268,9,8,8,11,8,7,11,8,35,33,24,24,29,24,24,25
T_269,40,36,35,50,34,31,47,33,23,22,16,16,20,22,11,17
T_270,16,14,14,20,14,12,19,13,47,44,32,32,39,45,32,24
T_271,34,31,30,42,29,26,40,28,19,18,13,13,16,18,13,13
T_272,22,28,27,39,27,24,36,26,40,38,27,27,33,38,27,29
T_273,30,19,27,37,26,23,35,25,35,33,24,24,29,34,24,25
T_274,35,32,22,43,30,27,41,29,39,37,26,26,32,37,27,28
T_275,25,23,22,22,21,19,29,21,43,41,29,30,36,41,30,31
T_276,24,22,21,30,14,18,28,20,34,32,23,23,28,33,23,24
T_277,40,36,35,50,34,21,47,33,42,40,28,29,35,40,29,30
T_278,20,18,18,25,17,15,16,17,25,23,17,17,21,24,17,18
T_279,32,29,28,40,28,25,38,19,30,29,21,21,25,29,21,22
T_280,39,35,34,48,34,30,46,33,23,31,22,22,27,31,23,24
T_281,15,14,13,19,13,11,18,13,35,23,24,24,29,34,24,25
T_282,34,31,30,42,29,26,40,28,39,37,18,26,32,37,27,28
T_283,12,11,11,15,10,9,14,10,37,36,25,18,31,36,26,27
T_284,30,27,27,37,26,23,35,25,16,16,11,11,10,16,11,12
T_285,20,18,18,25,17,15,24,17,41,39,28,28,34,27,28,29
T_286,40,36,35,50,34,31,47,33,16,16,11,11,14,16,8,12
T_287,16,14,14,20,14,12,19,13,45,42,30,30,37,43,31,22
T_288,34,31,30,42,29,26,40,28,37,36,25,26,31,36,26,27
T_289,21,27,27,37,26,23,35,25,34,32,23,23,28,33,23,24
T_290,33,21,29,41,28,25,39,28,20,19,13,14,17,19,14,14
T_291,37,33,23,46,32,28,44,31,42,40,28,29,35,40,29,30
T_292,29,26,26,25,25,22,34,24,23,22,16,16,20,22,16,17
T_293,36,32,32,45,22,28,42,30,21,20,14,14,18,20,15,15
T_294,21,19,19,26,18,11,25,18,41,39,28,28,34,39,28,29
T_295,26,23,23,32,22,20,21,22,27,26,18,18,22,26,19,19
T_296,28,25,25,35,24,21,33,16,12,11,8,8,10,11,8,8
T_297,30,27,27,37,26,23,35,25,31,42,30,30,37,43,31,32
T_298,33,30,29,41,28,25,39,28,46,30,31,31,38,44,32,33
T_299,32,29,28,40,28,25,38,27,23,22,11,16,20,22,16,17
T_300,14,13,12,17,12,11,16,12,13,12,9,6,11,12,9,9
T_301,35,32,31,43,30,27,41,29,13,12,9,9,8,12,9,9
T_302,14,13,12,17,12,11,16,12,19,18,13,13,16,13,13,13
T_303,38,34,34,47,33,29,45,32,16,16,11,11,14,16,8,12
T_304,32,29,28,40,28,25,38,27,34,32,23,23,28,33,23,17
T_305,29,26,26,36,25,22,34,24,32,30,21,22,26,30,22,23
T_306,12,15,15,21,15,13,20,14,9,9,6,6,8,9,6,7
T_307,36,23,32,45,31,28,42,30,45,42,30,30,37,43,31,32
T_308,20,18,12,25,17,15,24,17,23,22,16,16,20,22,16,17
T_309,18,16,16,16,15,14,21,15,16,16,11,11,14,16,11,12
T_310,35,32,31,43,21,27,41,29,45,42,30,30,37,43,31,32
T_311,23,21,20,29,20,12,27,19,47,44,32,32,39,45,32,34
T_312,10,9,9,12,9,8,8,8,19,18,13,13,16,18,13,13
T_313,38,34,34,47,33,29,45,22,43,41,29,30,36,41,30,31
T_314,39,35,34,48,34,30,46,33,21,29,21,21,25,29,21,22
T_315,20,18,18,25,17,15,24,17,35,23,24,24,29,34,24,25
T_316,11,10,10,14,9,8,13,9,37,36,18,26,31,36,26,27
T_317,11,10,10,14,9,8,13,9,18,17,12,8,15,17,12,13
T_318,16,14,14,20,14,12,19,13,28,27,19,19,16,27,19,20
T_319,14,13,12,17,12,11,16,12,22,21,15,15,19,15,15,16
T_320,29,26,26,36,25,22,34,24,26,24,17,18,21,25,12,18
T_321,27,24,24,34,23,21,32,23,18,17,12,12,15,17,12,9
T_322,8,7,7,10,7,6,9,7,32,30,21,22,26,30,22,23
T_323,27,34,34,47,33,29,45,32,29,28,20,20,24,28,20,21
T_324,20,13,18,25,17,15,24,17,16,16,11,11,14,16,11,12
T_325,14,13,9,17,12,11,16,12,40,38,27,27,33,38,27,29
T_326,38,34,34,33,33,29,45,32,25,23,17,17,21,24,17,18
T_327,40,36,35,50,24,31,47,33,33,31,22,22,27,31,23,24
T_328,16,14,14,20,14,9,19,13,32,30,21,22,26,30,22,23
T_329,37,33,33,46,32,28,30,31,32,30,21,22,26,30,22,23
T_330,26,23,23,32,22,20,31,15,13,12,9,9,11,12,9,9
T_331,30,27,27,37,26,23,35,25,13,18,13,13,16,18,13,13
T_332,32,29,28,40,28,25,38,27,25,16,17,17,21,24,17,18
T_333,15,14,13,19,13,11,18,13,27,26,13,18,22,26,19,19
T_334,24,22,21,30,21,18,28,20,32,30,21,15,26,30,22,23
T_335,19,17,17,24,16,15,22,16,41,39,28,28,24,39,28,29
T_336,22,20,19,27,19,17,26,18,27,26,18,18,22,18,19,19
T_337,15,14,13,19,13,11,18,13,16,16,11,11,14,16,8,12
T_338,27,24,24,34,23,21,32,23,19,18,13,13,16,18,13,9
T_339,25,23,22,31,21,19,29,21,27,26,18,18,22,26,19,19
T_340,10,13,12,17,12,11,16,12,35,33,24,24,29,34,24,25
T_341,34,21,30,42,29,26,40,28,16,16,11,11,14,16,11,12
T_342,21,19,13,26,18,16,25,18,29,28,20,20,24,28,20,21
T_343,28,25,25,24,24,21,33,23,18,17,12,12,15,17,12,13
T_344,27,24,24,34,16,21,32,23,15,14,10,10,13,15,11,11
T_345,27,24,24,34,23,14,32,23,39,37,26,26,32,37,27,28
T_346,11,10,10,14,9,8,9,9,19,18,13,13,16,18,13,13
T_347,16,14,14,20,14,12,19,9,36,34,24,25,30,35,25,26
T_348,21,19,19,26,18,16,25,18,30,41,29,30,36,41,30,31
T_349,23,21,20,29,20,18,27,19,26,17,17,18,21,25,18,18
T_350,27,24,24,34,23,21,32,23,11,10,5,7,9,10,7,8
T_351,35,32,31,43,30,27,41,29,16,16,11,8,14,16,11,12
T_352,23,21,20,29,20,18,27,19,30,29,21,21,18,29,21,22
T_353,14,13,12,17,12,11,16,12,25,23,17,17,21,16,17,18
T_354,16,14,14,20,14,12,19,13,28,27,19,19,23,27,14,20
T_355,23,21,20,29,20,18,27,19,20,19,13,14,17,19,14,10
T_356,30,27,27,37,26,23,35,25,26,24,17,18,21,25,18,18
T_357,10,13,12,17,12,11,16,12,34,32,23,23,28,33,23,24
T_358,25,16,22,31,21,19,29,21,9,9,6,6,8,9,6,7
T_359,15,14,9,19,13,11,18,13,19,18,13,13,16,18,13,13
T_360,13,12,11,11,11,10,15,11,41,39,28,28,34,39,28,29
T_361,33,30,29,41,20,25,39,28,40,38,27,27,33,38,27,29
T_362,16,14,14,20,14,9,19,13,36,34,24,25,30,35,25,26
T_363,31,28,27,39,27,24,26,26,30,29,21,21,25,29,21,22
T_364,37,33,33,46,32,28,44,22,28,27,19,19,23,27,19,20
T_365,22,20,19,27,19,17,26,18,22,30,21,22,26,30,22,23
T_366,9,8,8,11,8,7,11,8,28,19,19,19,23,27,19,20
T_367,14,13,12,17,12,11,16,12,16,16,8,11,14,16,11,12
T_368,26,23,23,32,22,20,31,22,36,34,24,17,30,35,25,26
T_369,21,19,19,26,18,16,25,18,25,23,17,17,14,24,17,18
T_370,24,22,21,30,21,18,28,20,36,34,24,25,30,24,25,26
T_371,17,15,15,21,15,13,20,14,47,44,32,32,39,45,23,34
T_372,22,20,19,27,19,17,26,18,32,30,21,22,26,30,22,16
T_373,29,26,26,36,25,22,34,24,22,21,15,15,19,21,15,16
T_374,6,7,7,10,7,6,9,7,39,37,26,26,32,37,27,28
T_375,16,10,14,20,14,12,19,13,39,37,26,26,32,37,27,28
T_376,35,32,22,43,30,27,41,29,22,21,15,15,19,21,15,16
T_377,34,31,30,30,29,26,40,28,12,11,8,8,10,11,8,8
T_378,31,28,27,39,19,24,36,26,27,26,18,18,22,26,19,19
T_379,26,23,23,32,22,14,31,22,37,36,25,26,31,36,26,27
T_380,24,22,21,30,21,18,20,20,47,44,32,32,39,45,32,34
T_381,27,24,24,34,23,21,32,16,42,40,28,29,35,40,29,30
T_382,24,22,21,30,21,18,28,20,25,34,24,25,30,35,25,26
T_383,14,13,12,17,12,11,16,12,39,26,26,26,32,37,27,28
T_384,31,28,27,39,27,24,36,26,30,29,14,21,25,29,21,22
