TP,P_0,P_1,P_2,P_3
T_63,604.4788,1499.0560,768.5673,1283.0894
T_64,982.8850,1176.1221,1803.3145,888.4378
T_65,1368.0211,1006.7647,1737.7600,1951.0185
T_66,769.2178,1775.9056,1661.4813,1511.1424
T_67,893.5242,989.8417,1783.9449,223.6734
T_68,776.1193,399.3574,1841.4298,1859.5992
T_69,1745.6948,1833.3232,1529.8923,1716.8419
T_70,330.3772,1855.8798,1475.0239,1283.2603
T_71,1944.3999,976.2903,408.4287,761.4135
T_72,244.2563,1471.9347,957.7818,415.0804
T_73,706.9512,1618.2929,748.9913,1066.0934
T_74,660.2454,665.0407,924.8077,1217.6033
T_75,1001.0066,1644.3185,1197.5233,1055.0282
T_76,541.1128,1223.5921,785.9084,405.1214
T_77,1657.6261,908.9681,1537.3945,1149.5618
T_78,1646.2298,286.4727,758.0606,1512.1413
T_79,1531.7408,654.4996,206.6186,1792.9275
T_80,1567.4769,1100.0678,1466.8861,1421.5895
T_81,232.0599,1568.8645,1516.7222,1157.8264
T_82,1650.3661,975.3365,1399.3538,1280.6541
T_83,1108.5155,512.2890,915.8352,686.0587
T_84,858.3565,619.9957,942.1476,920.8078
T_85,390.3819,203.3072,1103.7874,1335.2882
T_86,1934.5402,1808.2200,768.8506,620.4785
T_87,1060.2323,1236.8500,1534.3526,205.7457
T_88,658.4222,1131.8802,1650.1263,1900.9389
T_89,377.4324,1775.9338,1022.9683,972.2483
T_90,1706.8699,1628.0820,754.7553,882.2897
T_91,1509.6143,456.7405,241.0463,1333.9408
T_92,1370.6375,272.0019,853.7848,1111.7451
T_93,1712.3521,1285.8108,1602.5455,1564.1697
T_94,1996.2804,331.5979,1487.0493,423.8399
T_95,1000.0139,1096.2438,297.5941,613.5161
T_96,1440.9839,1393.6081,822.2319,1976.6353
T_97,862.1627,1014.8963,508.6263,1082.4227
T_98,1597.0274,1969.8993,1213.9379,762.3000
T_99,1448.5519,421.4977,1825.6739,1677.7997
T_100,1767.1737,1434.9099,1249.8410,988.2305
T_101,583.0653,622.6075,493.3937,1372.6114
T_102,1529.3347,285.9566,1904.6585,245.8345
T_103,488.8846,799.1285,1972.2344,810.6261
T_104,1530.4879,341.2392,1441.3058,316.0062
T_105,1634.5085,264.4109,671.7781,555.7411
T_106,1763.3755,1771.3621,1514.7177,1742.4528
T_107,271.8729,1040.2456,315.6178,1774.7827
T_108,505.9240,1809.2495,656.6662,1565.1040
T_109,1846.4028,1309.3636,230.4509,1018.3764
T_110,1100.2144,1449.6205,647.3007,776.2061
T_111,1110.2379,462.7918,793.5381,997.8989
T_112,1997.6649,603.3118,1231.8121,1307.3127
T_113,980.1919,1709.6677,243.2912,1702.7628
T_114,963.1318,894.0998,1224.8549,811.7032
T_115,1107.8898,750.9409,1300.7386,689.0891
T_116,1970.3389,329.8758,1739.9104,679.6350
T_117,342.4623,607.1304,964.2233,421.1242
T_118,310.7883,622.9294,1215.7918,384.8881
T_119,1617.1103,1895.5720,1445.5033,1500.5837
T_120,1177.8240,716.8188,1744.7879,1668.5611
T_121,1808.4335,1008.3050,994.5908,796.2563
T_122,1765.9583,953.9034,801.9722,1152.3029
T_123,284.5087,1418.7477,1910.4866,549.2735
T_124,348.8819,1958.2116,805.8672,980.3621
T_125,722.8814,313.9031,855.4366,1590.5345
T_126,1639.0884,1010.6879,1196.5244,557.2625
T_127,693.8759,1858.4032,285.6525,1067.5598
T_128,1448.5966,1724.2712,1633.8792,591.0710
T_129,1006.1530,1632.1775,880.6556,1162.0338
T_130,1335.2849,1143.6541,913.6767,1388.5589
T_131,1805.1582,1811.9204,336.6155,892.0406
T_132,712.4428,866.5183,236.0061,1658.8987
T_133,1289.7048,665.1412,977.7023,1063.9209
T_134,1861.3821,354.2534,229.4726,997.7456
T_135,1811.7806,637.3283,302.3804,1907.5552
T_136,868.2509,1734.4123,1703.7064,560.2375
T_137,1784.8685,1519.4155,1543.1205,716.7044
T_138,1277.5559,1643.8334,1645.0772,1579.2273
T_139,1400.2264,1466.8778,1785.3763,1827.1680
T_140,874.0724,504.4838,1844.8197,1827.3577
T_141,1822.3970,626.7538,1777.8550,983.4554
T_142,946.5690,769.9582,729.6889,851.8997
T_143,1602.7048,1882.9101,1350.2532,897.9566
T_144,1041.2737,1006.1215,720.3079,270.7459
T_145,308.2140,1776.3781,1107.1721,1193.0273
T_146,1323.3978,1519.3017,581.3428,1645.8714
T_147,1020.0640,1398.4750,1663.6946,594.5043
T_148,568.8771,402.3046,323.6732,1507.2969
T_149,792.5086,475.0228,285.1581,441.4972
T_150,1956.5573,920.2510,1613.6685,1214.9103
T_151,989.7266,891.2208,1113.9996,1394.6458
T_152,493.5802,947.1205,737.9537,594.1048
T_153,946.5698,1714.6304,1718.9540,1097.6943
T_154,1397.3116,851.7924,703.9599,503.0954
T_155,245.4110,331.9836,1963.3914,1548.0940
T_156,1106.2637,335.1846,483.0226,1400.4002
T_157,1759.2369,1842.9563,305.4480,766.2509
T_158,920.9634,478.8108,314.1886,1387.9630
T_159,362.7095,1892.2618,403.3007,632.1769
T_160,605.3021,1186.6970,1352.2912,272.9435
T_161,860.5213,1269.5897,1647.9345,854.2467
T_162,683.3506,1225.9789,309.9852,1940.7163
T_163,1771.0629,1782.0628,396.0862,1824.5737
T_164,956.8596,265.5745,308.6466,854.5420
T_165,608.1982,1713.5994,1635.4090,650.6239
T_166,841.6725,1971.7028,1673.1415,667.7591
T_167,1600.4418,530.9910,934.9848,1505.0498
T_168,648.4916,271.7830,1897.7933,1058.7140
T_169,979.6924,1890.4480,887.5727,1836.6740
T_170,687.2501,1628.7759,917.0496,733.2580
T_171,1732.9711,364.7317,995.1880,1138.9006
T_172,282.7246,489.6149,631.1035,297.1350
T_173,1783.6153,1548.7587,223.9787,891.7027
T_174,1551.2880,901.6673,1431.2709,888.8186
T_175,1596.4482,1180.1754,1253.8050,352.3596
T_176,490.9941,804.9354,1492.2246,1699.2799
T_177,1884.2695,1337.3722,1044.8813,1066.4116
T_178,1378.0019,471.9726,367.2919,979.4224
T_179,996.5498,1102.1510,917.6528,676.9408
T_180,1176.5147,734.2409,585.0345,1310.8268
T_181,1899.8875,837.8498,1721.4345,1099.7329
T_182,247.8043,1206.0906,1507.4260,278.0251
T_183,659.1770,1998.7541,440.2257,1507.0747
T_184,574.9709,764.6900,442.2638,1128.0357
T_185,872.5070,1295.9081,1254.6311,945.3524
T_186,1444.7336,1564.6919,919.1332,1511.6427
T_187,1381.4668,1244.5563,1895.1529,649.1370
T_188,1984.0145,954.3301,1712.3038,1062.2074
T_189,795.1409,1942.9781,452.4721,1653.1444
T_190,1083.5009,592.4917,1651.4757,878.1789
T_191,1829.9462,966.8561,607.2346,1379.2477
T_192,231.7468,860.2173,604.4515,431.8598
T_193,859.8872,1789.6172,1804.4338,1880.6066
T_194,1479.6098,1639.6821,1866.0932,535.1957
T_195,1918.7166,409.7919,1718.2661,1003.2479
T_196,1310.9377,1058.2890,294.0107,1704.8470
T_197,486.4503,1378.0184,911.9337,631.9928
T_198,512.2179,789.1195,244.5348,480.0153
T_199,1644.4324,576.4522,1115.4061,677.8775
T_200,1157.4573,1539.8854,1479.8958,721.2495
T_201,840.1049,1663.2931,1789.2499,394.3973
T_202,1149.8963,1831.6972,1582.5976,1155.4588
T_203,276.8849,1917.2765,1734.4278,873.7090
T_204,874.2256,848.2277,1567.2412,971.6573
T_205,872.8454,902.3876,1092.7974,853.7285
T_206,1948.2835,1972.4587,1919.6419,270.7677
T_207,1745.0824,1524.4185,436.1742,1103.1575
T_208,724.2760,1388.2157,1377.7384,578.8312
T_209,929.8960,1197.0166,363.1430,1647.6446
T_210,1269.0391,1899.6134,754.9507,654.7531
T_211,1795.4207,1756.4749,555.1079,594.9414
T_212,1054.6917,1370.8258,1605.7898,996.2047
T_213,1009.2111,343.7489,1805.0321,455.0697
T_214,647.0880,826.1674,772.9660,867.6462
T_215,1743.6512,1718.4822,649.3149,1625.4778
T_216,1595.5230,679.4401,631.1828,888.6693
T_217,739.5381,1355.5966,1943.8130,1677.2090
T_218,685.0847,1919.5966,1702.6181,973.2320
T_219,347.4369,638.0443,1058.3077,391.8086
T_220,1617.3508,1524.7005,1216.0760,574.2566
T_221,1918.6287,1439.9695,293.9465,580.5272
T_222,1583.1836,1122.6687,1931.7432,303.7287
T_223,624.0506,1495.4968,1903.9934,1550.5569
T_224,1450.2985,1129.4729,1059.2302,1315.9806
T_225,1325.2921,1666.4386,1855.4033,1699.0951
T_226,1427.0128,1928.5808,511.1200,1089.6145
T_227,641.1307,1031.8001,307.6328,209.0437
T_228,1767.8596,581.1574,1250.2954,418.9507
T_229,702.4062,275.0584,1706.8491,355.5535
T_230,585.4936,250.6556,1305.4857,1616.8694
T_231,1423.8534,1840.0843,1253.1583,1189.5879
T_232,215.6032,352.0612,1522.9336,1217.9640
T_233,1578.8141,1742.3271,1066.5165,1950.9122
T_234,1669.2971,1516.9809,1147.2438,1990.0479
T_235,1128.8494,1204.3320,1939.3965,751.3835
T_236,1015.0359,1922.6994,535.8690,242.8933
T_237,445.2014,1685.0426,1048.1508,1375.2401
T_238,1422.6238,903.6766,930.4870,1274.6365
T_239,560.9529,438.5339,475.2417,1586.9285
T_240,875.4225,1321.5322,1074.0112,489.0695
T_241,1508.8665,1089.6688,630.2296,225.5325
T_242,1514.6409,1299.3832,749.6536,1185.4253
T_243,1127.8146,1716.8012,1226.7041,1381.1616
T_244,311.2592,754.1022,801.8335,1501.1540
T_245,1504.2153,1210.2651,944.3864,530.5606
T_246,1303.9104,347.6935,1795.3402,875.1375
T_247,1011.8401,1791.8800,1589.9593,1430.7632
T_248,1241.7391,1560.3153,1314.6254,1807.3173
T_249,330.3208,1650.3269,1242.5170,1925.3670
T_250,1492.4699,510.3365,728.2524,1145.8182
T_251,1135.3890,1862.7254,447.4255,1705.8226
T_252,1676.9726,1549.3253,1163.3774,1806.8507
T_253,1636.7004,974.0878,282.7132,1665.1574
T_254,577.1457,743.4506,1185.1591,1361.1730
T_255,1294.3287,1755.0921,1213.6924,1722.7609
T_256,1709.4240,1318.8904,1943.6862,1567.4992
T_257,602.1758,1419.3868,1250.8409,660.9322
T_258,1511.5852,876.4665,208.6841,1193.8787
T_259,682.0127,1798.5683,1395.1716,1441.1850
T_260,1900.2679,289.5176,1198.1649,1462.5148
T_261,828.5026,1783.1086,1794.0628,467.6514
T_262,1477.6021,1649.4680,1430.1715,1586.8701
T_263,665.1678,1881.3439,831.0383,1737.3777
T_264,1296.6442,1005.4915,1436.3942,1816.4986
T_265,1919.0392,879.9263,1303.6468,457.5857
T_266,498.4845,702.4451,495.2655,960.2339
T_267,965.4036,1088.8344,1183.1447,778.5775
T_268,1348.2790,1743.9741,1460.9051,1204.8111
T_269,756.9272,1751.1776,1094.2583,1926.3154
T_270,1524.8276,1676.0348,289.8971,952.7077
T_271,1989.2153,1663.9707,1995.7644,1630.2413
T_272,245.4282,471.3064,1897.2346,1676.5212
T_273,562.1740,1578.6730,1522.1458,1220.3416
T_274,985.8707,940.5792,1164.0303,326.0575
T_275,1487.8431,1033.8290,1502.2477,588.7677
T_276,666.3233,851.5941,438.5911,921.1938
T_277,620.4388,1626.2272,1180.4506,1545.4666
T_278,1911.2332,1510.0788,491.6710,443.0044
T_279,790.0292,550.9391,468.3705,834.5137
T_280,706.6807,865.0242,914.8057,694.0973
T_281,1191.5998,1506.6235,416.4034,1769.6060
T_282,421.8282,440.5635,418.9404,1816.3480
T_283,787.1473,968.2008,638.4723,690.9986
T_284,373.7871,1701.1294,486.3844,1337.6212
T_285,1425.3796,1274.5706,1209.8025,619.2010
T_286,1290.8558,551.7680,1765.2880,1052.0952
T_287,1287.0020,1279.1414,630.3124,634.9317
T_288,672.2087,529.5166,1619.3768,822.8189
T_289,319.0233,1008.1505,1397.1678,1159.6999
T_290,635.1906,668.9851,699.3655,379.8753
T_291,1407.2869,1364.1026,958.3193,1143.0324
T_292,1071.6065,1800.6724,269.2173,1088.8998
T_293,264.5547,1130.7492,1409.1341,1432.1101
T_294,1655.2217,495.6047,1403.2415,839.8318
T_295,1741.3354,1364.3082,682.6040,1142.6868
T_296,1810.2511,1784.0087,1344.1393,457.6307
T_297,1348.8240,1815.6534,571.9753,1365.6366
T_298,503.9616,1326.6845,902.4306,956.3946
T_299,775.2051,1029.9271,1211.9141,1926.7532
