TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_24,1630.5303,1679.3788,982.0259,392.4925,1786.8530,1220.1662,1196.5360,1294.3693
T_25,457.4278,953.5725,726.9432,898.4827,569.4012,1124.2931,932.6891,263.5511
T_26,459.9948,1700.8280,798.4571,830.4144,1273.0352,820.9620,1194.4510,845.4441
T_27,233.6934,808.5249,963.3038,1905.4763,1228.7854,1782.7665,1274.2597,626.2108
T_28,1421.9739,530.3499,1165.1501,475.5299,270.4873,689.3924,1939.6658,1041.6849
T_29,1493.7653,922.4282,1567.2953,1881.0556,1228.7334,372.3280,1820.3969,1026.8526
T_30,1205.5688,518.0578,1283.4378,1012.9692,1836.0103,632.6368,915.7382,1009.5684
T_31,684.9277,336.5818,358.7991,1178.3281,456.8623,1291.0597,265.5838,674.6613
T_32,1679.3128,300.7324,1476.5088,239.0513,1959.1429,657.1593,1993.0638,1770.6024
T_33,1761.1622,1756.7722,1336.6491,550.6070,1253.6667,1313.3955,1616.7106,1861.3654
T_34,988.1280,1936.4512,899.9075,910.7277,699.3287,461.2906,790.2006,989.3371
T_35,1614.6116,355.5818,1790.6021,1933.9055,530.5933,961.3376,784.8225,402.7055
T_36,856.8444,1092.6340,401.7428,1128.0010,895.8192,1781.3455,1067.7097,748.4095
T_37,524.9939,1512.8353,1251.8070,279.2380,1295.9877,565.1313,1755.9017,1371.5323
T_38,719.8712,497.4337,390.2001,520.4111,591.1522,1354.8561,1975.3326,1418.0222
T_39,1510.5319,687.1717,624.4397,1803.5611,866.5572,259.1584,1440.0091,999.8246
T_40,1171.9497,1133.9436,1693.7626,361.0327,1111.6527,688.7096,1165.5462,1206.7825
T_41,1068.7415,351.4980,585.7337,1186.4934,1209.4836,710.9625,1693.3494,1249.4804
T_42,599.6801,619.0698,1414.0343,233.1596,771.1375,464.4114,1811.5533,1501.9882
T_43,1117.3013,983.7206,1617.4691,408.6475,1356.9058,1264.1486,1881.8523,465.8356
T_44,272.8262,451.9824,1107.2883,362.0441,871.3686,1594.8690,459.8796,231.1615
T_45,1331.8875,1183.4177,1451.6696,439.6543,969.1224,988.8392,408.5386,999.5693
T_46,993.8223,1374.9594,1403.8811,447.4873,845.1241,1406.8495,428.6871,907.5383
T_47,1322.3903,391.7744,1243.7313,327.9322,1071.2405,956.8987,1849.8766,1804.5929
T_48,469.6457,319.8982,1113.6671,957.5012,1603.6742,1531.3054,578.1118,1004.8111
T_49,359.1903,1382.8727,901.2722,1587.7198,1012.7418,1571.8990,732.8658,328.4621
T_50,775.1819,817.8998,1414.8252,1981.9465,1860.2675,1634.3650,1620.7115,865.9768
T_51,223.2953,399.7500,1039.6537,679.5942,551.1377,331.9474,1159.9211,574.9887
T_52,1333.5411,1647.0767,1970.0086,849.2242,1875.1721,1451.0374,1395.8951,1462.5169
T_53,996.8476,599.0700,288.2971,1462.2514,705.5773,840.9673,1894.7965,1750.4913
T_54,1658.9086,1115.2692,1552.7502,453.3407,1542.0735,1867.9302,1944.3254,835.2807
T_55,699.1867,447.6904,934.2059,1403.9242,691.6516,1898.5176,653.6734,227.2429
T_56,422.9517,526.2835,454.1787,1365.6650,1601.8904,1883.6415,453.2900,1324.1445
T_57,1422.0047,1952.3083,1185.0989,1461.1975,1546.0679,358.4601,360.3995,1382.3280
T_58,504.9535,1289.1624,1020.6855,1435.8685,779.1972,906.5804,1032.9152,1465.6109
T_59,1702.7514,1334.7279,350.0376,1627.4817,716.8315,1991.9709,970.8653,1098.3300
T_60,1945.3966,261.0542,1239.2997,379.2938,586.7886,729.1315,348.6009,1775.2671
T_61,861.9792,428.6057,1031.3360,1589.7652,882.8313,683.1278,1289.2128,540.7266
T_62,287.2909,1551.8780,1098.9707,1402.4892,1077.8321,1217.8049,1448.0457,1516.3713
T_63,1493.3683,988.5678,1662.9136,467.1626,1733.6040,825.8083,807.3131,1430.0338
T_64,1181.4430,286.7689,1515.8009,1485.0137,1119.1604,1981.1057,995.5394,1775.8220
T_65,1140.5616,1245.4184,773.8892,550.5915,1875.2444,1443.1500,782.7796,1219.6236
T_66,245.5150,1809.3110,1540.1908,1164.9535,1093.0001,1568.3761,220.4980,927.5918
T_67,813.0085,1722.9284,885.9255,1598.2207,1066.2179,1881.4383,241.6631,236.1709
T_68,1621.2927,1601.3021,608.3222,796.0624,1167.3269,1804.1991,1421.5662,306.1852
T_69,756.3386,1323.1488,461.9277,1832.4136,643.9156,1097.4543,1641.1269,250.2183
T_70,405.7882,643.2901,421.6476,1924.2930,1285.6175,1642.3596,537.0337,1613.0670
T_71,266.2709,788.2091,872.0053,1396.2320,1295.1801,1397.3186,909.6041,1259.1233
T_72,1203.7553,737.7183,929.2988,473.9423,1034.8278,1986.7172,252.2966,441.3159
T_73,587.7448,1434.0056,608.6148,1769.8514,1306.4484,388.0843,483.6761,1715.5542
T_74,281.8015,835.7073,1392.4325,622.9278,1659.7907,317.3701,950.5535,1978.9331
T_75,1264.2684,995.2552,729.7915,579.1178,1132.1938,225.3342,1011.0051,1359.0200
T_76,613.5447,1202.8044,828.6583,1906.1973,368.1555,1367.1846,1215.3905,419.0710
T_77,590.9935,1980.3316,1536.5483,1851.6118,1233.7448,767.1823,506.6186,1878.1866
T_78,504.5330,1156.4511,1314.4305,659.4729,204.8861,486.6763,1599.3326,1086.3852
T_79,1787.1648,950.3657,1209.6738,239.5726,1456.9257,1673.1788,1309.1221,562.4106
T_80,623.0006,1249.5949,1356.3067,303.6440,1559.4260,577.4788,1547.3987,914.6169
T_81,1620.3168,1173.3615,231.9343,1679.4591,780.8218,1098.9417,945.1883,697.0861
T_82,688.6367,851.6049,274.5848,1975.7427,910.9037,551.5322,1354.1339,326.8684
T_83,1603.4718,1742.2731,319.0325,1417.7897,357.5108,1175.8179,962.1453,917.8146
T_84,871.2095,1174.1377,1428.6112,1984.1499,1410.8756,402.9745,518.7606,1927.0542
T_85,1609.0524,599.8136,1039.1561,1031.5246,454.7419,1919.8735,505.5634,888.2231
T_86,205.1774,712.5877,1550.9359,805.3208,1598.5940,1333.3794,1651.5069,271.4684
T_87,1895.4610,1229.4383,700.1723,1817.1529,458.4463,329.6090,757.1061,644.4988
T_88,411.2162,1314.1197,1008.2496,1606.6841,1670.3304,961.0384,1286.2105,485.6622
T_89,532.8443,347.5306,566.6904,511.0901,1512.3760,522.6092,1872.1265,1683.5983
T_90,1436.7097,1430.8094,1412.6123,1644.9231,1624.8821,356.8245,1319.2206,1537.8301
T_91,1522.6308,1357.1428,288.6889,381.4374,1702.8022,701.6078,1668.6079,1479.4434
T_92,1842.7075,594.6573,820.3084,1140.6222,1111.6239,898.8793,1217.8927,1244.1390
T_93,1426.3772,1265.2737,472.4766,1451.0635,966.6890,1340.4168,759.0924,1572.8518
T_94,1357.3118,1016.5740,580.4432,1027.6369,916.9966,1112.1830,1019.6168,254.3917
T_95,1994.8991,1470.4195,284.0533,513.1876,872.3495,1104.7731,782.8599,1831.2365
T_96,678.9226,1087.2470,668.3826,1117.7187,1702.3008,931.5042,771.9743,737.8304
T_97,412.9167,368.4734,418.5459,559.6083,1884.3479,1868.1571,771.1411,382.2140
T_98,798.0505,715.8371,1024.1256,886.2282,321.1645,840.9711,762.4468,930.5244
T_99,1575.0405,765.9167,1145.7231,1641.2045,814.8260,904.7051,571.7895,521.6041
T_100,682.4138,641.2401,972.1408,1879.4420,872.0342,1641.3736,1870.5510,625.8075
T_101,444.5997,1842.6129,814.7201,748.5233,893.6372,660.0085,370.0438,326.7420
T_102,899.2783,1901.8393,1715.1371,356.5124,280.6475,1896.6317,1710.0720,1837.9515
T_103,524.8002,1737.8582,1542.6782,1136.3841,1785.7811,1130.7699,1923.0044,1508.2116
T_104,1796.6839,1896.9418,1877.1945,1443.1079,1096.0163,891.6991,1510.1798,1156.6769
T_105,845.2862,598.3180,641.6286,478.5517,226.2510,213.9235,236.8873,1115.0321
T_106,595.8729,1018.9811,941.9261,912.9866,1189.5680,415.2771,440.9565,785.7821
T_107,931.1681,1134.1893,1554.6418,1134.1760,298.6954,934.1669,840.0264,1313.8298
T_108,1919.6085,1306.5085,951.8393,996.6954,782.8140,926.9359,1230.7257,207.5792
T_109,591.6596,758.4603,1511.2262,1682.3295,1455.0031,1431.5203,1811.7006,510.8767
T_110,1700.9709,627.6462,740.5111,966.8000,388.8438,1210.0178,518.6437,1581.4069
T_111,1655.9852,1291.4124,711.9398,1961.8270,1337.0573,576.0037,1057.9815,1911.1193
T_112,1758.2916,1327.7988,558.9432,919.7425,1262.0842,1240.1918,532.2181,1668.9371
T_113,1788.2555,934.3469,521.3271,631.1077,904.0508,758.6270,1330.7790,1499.6478
T_114,1322.4887,1243.7650,1433.2051,1671.0492,393.6558,1873.2264,1124.9860,909.5907
T_115,987.8648,1370.4325,1340.7102,1491.4016,414.9961,1268.8987,870.5219,215.6558
T_116,1700.4788,1600.1070,1924.0379,327.2044,1072.5770,1091.9581,1248.7926,660.7791
T_117,295.4280,1071.5741,1178.5445,1454.4969,888.6907,1887.5360,877.3560,1097.3582
T_118,1960.6334,1212.2919,839.3383,293.2923,1142.7986,1386.9322,1717.4635,1885.0652
T_119,402.8128,1649.3525,1931.8776,1891.6517,1899.4816,1040.8166,1453.9409,719.3568
T_120,263.8250,505.6713,930.6289,1303.9439,834.5892,1203.5746,627.0708,430.5305
T_121,1994.9725,972.4261,1575.6212,1322.0817,894.6819,1670.4891,220.9000,1100.3288
T_122,693.0764,443.3520,1530.7682,1202.7042,629.5603,777.2296,1072.8572,513.5466
T_123,1882.6434,238.9727,1924.3916,1423.2245,1160.0805,1357.1409,761.2975,1254.6115
T_124,1617.6331,659.1877,1390.6719,583.0194,1156.9072,1573.4122,462.7690,957.0588
T_125,785.2211,608.8078,298.3198,370.3725,1811.3110,595.3818,1190.3832,732.3237
T_126,1628.4525,1031.5488,1398.5752,1656.1296,1510.0484,451.2367,289.7965,1486.5954
T_127,1432.8140,617.0823,1421.3004,795.6165,1279.1830,1203.8463,1270.4500,837.8315
T_128,411.1286,521.0097,1704.4485,435.4943,479.8172,1637.8806,1943.4217,1119.6643
T_129,1980.5830,773.7094,617.4831,220.7525,678.9098,902.4847,702.2356,1487.2616
T_130,1048.5895,1392.0679,1794.7721,328.5317,1958.5657,1105.1679,1744.5631,1366.3964
T_131,569.3912,1904.0765,1150.2054,739.8249,352.1118,1667.1525,1677.8757,1581.3749
T_132,1338.3578,1460.4883,1959.2439,1490.3013,890.9333,954.8890,452.5065,1990.5719
T_133,1088.1272,478.9110,1675.5465,936.3390,1833.7537,269.0440,1007.6856,730.3294
T_134,1914.8466,1934.0388,1747.0270,1887.1151,1409.0742,1141.9184,879.2659,1305.9607
T_135,776.4467,538.0521,1866.1031,575.7406,687.6752,1403.5968,967.5525,513.4305
T_136,1095.8336,1036.1082,882.3948,1218.4214,943.2408,1211.9343,796.3283,293.7005
T_137,1139.5614,1804.2002,1240.4045,1679.6547,1429.6214,1008.2240,1532.6427,500.3472
T_138,1096.3909,619.8760,824.9783,418.0729,1920.1256,1790.7606,372.3006,396.4394
T_139,781.2225,853.2832,913.8546,552.8812,1088.7859,1876.7658,1502.8967,1684.5304
T_140,1511.3585,1362.1160,1840.5054,997.6455,1386.6492,1789.2642,1787.0886,902.9123
T_141,1337.7106,1653.3265,947.5537,1604.8740,1901.5139,1199.6111,1876.3394,1768.2226
T_142,1005.4094,1565.7559,1479.3497,267.7992,778.6185,749.4795,593.3049,1305.0730
T_143,863.8076,685.9554,637.1990,289.9576,498.0798,443.4471,1204.9146,1262.7956
T_144,501.3035,1555.8741,368.2962,267.5053,1167.7186,734.9972,1113.6980,1307.1267
T_145,832.7874,1922.0659,1080.3624,466.7991,1043.2069,767.4266,494.9255,1581.6113
T_146,976.9438,1145.6319,1547.4718,1523.0300,597.4161,1435.0975,1105.9119,961.8789
T_147,968.8111,735.4324,333.8379,900.6938,1352.0652,1697.1310,604.8326,1094.2635
T_148,648.4119,1684.7582,1303.5706,545.6398,1031.3149,1808.8340,800.5041,470.4122
T_149,652.0579,372.2230,1435.0117,856.5526,1669.1172,326.5059,461.8661,296.3810
T_150,391.0299,1055.5877,1313.0137,1352.4478,895.9753,1681.8845,865.3795,1066.2060
T_151,649.9621,1406.4173,1298.6943,632.2862,601.1593,413.0042,1955.0616,1135.6564
T_152,1517.2334,1986.0989,1818.3872,1358.4487,1463.8560,1949.2857,750.2964,1168.1098
T_153,545.1279,1277.0596,1070.9722,425.1931,200.0858,449.3594,1292.7618,842.3052
T_154,473.5663,237.4570,709.6640,496.4775,584.1173,1252.3848,398.2881,966.5274
T_155,1019.3787,437.3646,1895.6777,1624.8977,710.1397,368.2179,1869.2528,439.0537
T_156,417.1614,499.3553,1339.3192,1683.0182,508.1187,1103.4174,832.5249,441.7442
T_157,505.2913,344.9039,1007.3199,1618.9157,810.9124,640.1863,1066.1202,400.6028
T_158,313.6555,656.3891,358.7199,563.7024,1703.3402,1658.5841,751.5391,464.8486
T_159,1787.8108,1051.8598,539.0700,1226.4914,253.6080,1125.3987,657.9701,376.9100
T_160,1407.8068,831.9185,208.0317,1700.7305,1110.0402,1609.7435,534.1865,1370.1489
T_161,1404.9320,467.9198,1991.1862,439.2134,445.0648,779.3724,355.6150,579.1924
T_162,1371.2444,1695.0749,1511.2422,253.7507,209.4980,1505.5505,735.7135,758.5774
T_163,1747.8162,1074.4705,1895.2075,1456.2589,764.3474,1606.0335,388.1362,1379.8926
T_164,1686.9338,830.4099,411.1089,1978.9939,632.1546,1365.3897,1290.5626,703.9120
T_165,322.2026,988.5710,1158.7703,1435.4204,1667.3979,512.3257,219.7838,1208.4384
T_166,896.2448,1959.8777,1855.2470,558.5331,1614.1565,604.2194,367.4120,1902.2563
T_167,296.2049,1449.4543,1952.9143,235.5696,1714.5361,1077.9276,805.8015,1798.8985
T_168,279.7836,811.2936,752.2796,1614.6549,568.2635,376.6211,1947.0377,205.8547
T_169,604.5123,1007.3302,1931.5481,1220.9271,546.7801,1300.2931,1091.1795,1435.4905
T_170,1054.6867,886.7691,760.0141,804.4697,1750.7865,1829.6031,1765.7361,1282.7144
T_171,662.9979,508.8527,1882.7890,1182.7003,1412.4754,1254.9929,989.3759,1244.2751
T_172,382.7694,1359.8718,1355.6368,1056.1043,1760.0461,605.1289,840.1749,719.6237
T_173,212.8399,1849.3923,1954.0208,806.8263,672.6713,1146.4849,1555.4761,995.9119
T_174,558.2748,717.4238,1180.8829,1027.7670,517.9134,201.3318,248.1120,450.1805
T_175,1045.5575,1469.5652,1151.6570,259.4108,493.8321,964.3374,793.3793,1349.5194
T_176,217.9543,887.2730,1038.1576,1186.9083,1944.6562,235.0752,1675.4444,649.5579
T_177,246.5942,240.3904,791.6298,1901.3942,1875.5823,1158.9098,810.0431,1516.5130
T_178,953.3765,1086.8771,824.4255,895.0517,274.1100,1961.6089,926.3616,381.4376
T_179,1311.7598,1105.4563,210.5469,490.4809,1453.4719,780.7640,425.7916,1248.5025
T_180,1256.0130,804.5014,788.8720,1785.3983,308.3273,568.5678,1051.2556,523.1996
T_181,1041.9793,731.3250,981.1727,477.5230,1409.7021,346.7178,574.5982,1886.6476
T_182,859.5221,1635.1440,1306.0343,1406.9550,339.9119,1898.3277,1275.4093,256.3454
T_183,1960.9114,856.7200,1875.1486,1039.1999,224.5283,1384.9635,1196.0860,1465.8302
T_184,1814.5988,1543.1272,845.3813,1271.0809,570.0379,1024.6447,1408.1857,584.8087
T_185,235.6215,501.2259,1853.0723,1542.7850,1180.4362,648.8386,971.7355,1165.0420
T_186,730.8581,323.8992,1630.9588,1818.3279,1474.7297,1018.8366,1108.5907,1357.6853
T_187,1529.0921,732.5266,1824.4869,1451.6073,693.4192,212.0557,498.6713,1657.0158
T_188,1535.2391,1515.3426,662.9242,1866.5749,1501.3365,1303.5173,1516.6098,1834.8774
T_189,426.9583,921.2256,1371.3335,1838.6860,245.2553,1732.6243,1075.9092,1512.0728
T_190,1884.9845,910.1066,508.3418,1900.6291,1754.0048,1377.7580,1991.1005,995.7623
T_191,634.5366,1487.6960,1741.9889,1837.5113,1200.1578,1956.5784,1891.3895,223.5658
T_192,202.5546,396.0565,207.5459,1665.0936,1985.9144,1105.1607,1663.7054,1427.3409
T_193,807.2894,1796.0814,1591.3697,753.5041,1647.5031,1269.9047,1312.4300,1796.4677
T_194,1656.6173,512.4142,1566.6228,1783.3126,1703.7139,598.0422,1903.0110,357.4811
T_195,1524.2421,1667.1619,1432.0383,213.6406,1561.5284,1679.0985,834.7196,470.3799
T_196,1029.8361,1347.7677,1836.1313,1849.1988,1725.0784,1410.8156,1526.1583,979.8238
T_197,1246.4012,1081.0009,1293.3397,1957.9234,1786.3883,1437.5963,1348.2592,1364.6319
T_198,375.2660,1945.5211,380.8940,887.7436,589.9556,308.0769,519.8519,1604.5125
T_199,493.0455,1850.0649,340.8515,518.7525,1673.1224,1650.0649,1865.8125,1128.1910
T_200,1161.3617,1320.9898,1723.6680,499.7354,1433.7734,1463.2312,271.3894,445.8017
T_201,986.2559,786.7990,736.9114,822.7130,1304.7025,1945.0876,571.0927,286.6458
T_202,518.9027,267.4064,1838.3746,1616.0073,1498.2045,1946.9760,1880.4243,921.7593
T_203,1027.9158,431.6188,1556.1533,1875.0135,1269.9641,1207.4058,1306.7015,1596.3363
T_204,1215.1885,365.1487,996.5617,665.3985,1713.9284,1048.5238,1930.8585,912.0349
T_205,1874.1318,1935.0923,1901.4877,1803.1566,1571.1654,1697.1389,499.8100,547.9579
T_206,1478.9721,254.2057,1999.8498,1605.7160,1811.6903,449.8052,1629.9864,1214.3857
T_207,1440.5655,1001.9087,1471.8196,1202.1545,1907.0779,396.3759,1175.8376,1778.8501
T_208,1480.0975,1140.5752,1607.5245,1139.5538,1148.5259,1905.6942,572.7174,1470.3789
T_209,336.5479,1126.3397,1741.8755,1563.1122,245.4883,277.2677,1350.5938,1330.7769
T_210,1931.8088,1208.1954,596.0414,1215.7584,1207.5560,1700.9855,1784.6460,965.3833
T_211,735.1623,1782.1760,1224.8330,912.0197,1576.7042,928.7040,1004.9570,1677.7559
T_212,959.2547,322.6377,523.0590,630.5903,289.6144,1360.2562,1399.4320,1573.2779
T_213,1681.4884,729.4709,1469.1681,885.3506,707.9297,266.8742,1168.8974,1363.2978
T_214,1651.3149,341.0427,1270.3457,898.8825,1800.3345,1960.0793,771.2941,1779.1120
T_215,1355.9292,842.1413,604.3915,1366.3500,880.8612,1660.6977,1893.6747,1407.8439
T_216,321.3827,264.1196,803.8576,1922.8506,1754.2087,920.0036,1241.1625,771.5526
T_217,1808.7634,1022.7634,1534.2700,678.0851,431.8174,1099.2953,457.4536,668.2881
T_218,813.2785,1861.5352,1260.7048,1435.6615,1658.3583,306.0745,1877.4214,999.1754
T_219,1551.3436,743.9470,1274.6611,1447.4731,955.8647,233.0820,892.4167,220.7906
T_220,835.7961,261.3242,763.9679,643.8101,1463.0166,1246.0468,1609.0891,931.3113
T_221,1099.8802,698.7930,1090.1191,977.5711,625.8093,293.2090,1547.2946,456.6338
T_222,584.6877,1936.1034,753.0715,1019.3260,599.9929,658.0133,1749.4856,215.3082
T_223,386.6982,1804.6822,571.5071,1210.2617,1645.3425,1793.6895,1815.6879,1775.6814
T_224,330.3467,1513.4794,1842.2890,370.4933,535.3274,1813.6435,1205.2715,1567.2317
T_225,452.4461,529.3935,535.7813,1159.5653,1215.9554,1099.8503,573.3661,1458.1346
T_226,1196.6524,1018.0273,1062.7854,1019.7613,1480.0106,1873.0907,1620.7977,377.7829
T_227,511.8386,748.6597,457.1119,1658.3344,874.5398,598.8274,1285.9688,1306.1907
T_228,883.1052,1314.4377,847.2244,1112.3299,450.9200,1376.8013,1921.3064,771.0442
T_229,930.8319,1185.8398,766.8799,270.5995,322.2320,789.9203,999.3528,1286.8479
T_230,1431.3161,1113.3725,213.6092,827.3152,930.9041,995.9266,495.6708,457.2560
T_231,1892.6817,1664.5061,1858.6547,1786.6677,1556.5316,1546.9371,892.6919,1853.6187
T_232,1243.4247,1229.5905,476.4601,1901.5177,452.6259,1461.0363,1207.2146,1819.8511
T_233,1096.7208,491.7411,288.9294,494.1708,1306.2109,1550.1982,255.5509,1721.9183
T_234,1749.3070,1170.2639,427.0183,1761.1673,585.2182,658.6536,575.2866,1887.1786
T_235,1018.7669,589.9684,1219.6482,786.4139,1518.1466,334.6387,1214.5126,1383.8948
T_236,493.1479,913.2612,1027.1748,1092.6415,513.4602,1097.8351,1034.2220,1970.2798
T_237,1906.1579,393.7581,1730.5944,639.1630,906.9971,201.5000,1151.0451,542.4835
T_238,1608.9553,336.7365,237.3607,586.2677,1319.9188,1131.5246,1468.4005,784.7711
T_239,854.3039,589.2815,1082.7508,1862.6576,441.3881,620.8007,501.7046,962.0821
T_240,1277.2285,905.0346,201.0229,592.9497,723.0234,1162.9094,1408.4581,851.4719
T_241,336.0419,456.7385,1855.0094,391.4601,928.0592,1936.1237,1180.1815,1017.2669
T_242,1438.9232,877.1647,1177.4586,1381.4101,297.2780,828.2450,263.9760,1361.6232
T_243,1444.8607,442.4037,438.3376,1924.1786,215.0843,1171.5644,1728.8917,1485.3572
T_244,1892.0535,968.5123,1361.9345,201.9625,200.4772,758.0954,1819.4600,646.0459
T_245,928.2784,1385.8888,450.2257,1063.1802,1276.5153,1276.9404,1856.7118,918.1802
T_246,1409.1001,265.4839,623.7343,1564.2234,1443.3421,1120.2944,864.8041,648.9835
T_247,841.0586,839.3997,1148.0890,480.6197,924.5718,1484.2794,836.3876,1164.4775
T_248,727.8469,569.6521,499.4066,1959.5469,774.1891,1178.2189,1016.7897,880.8278
T_249,1057.7047,731.4127,653.1317,911.3892,578.0192,1200.7958,285.1080,367.9203
T_250,585.6919,1520.1574,715.0786,1949.6003,747.8301,364.6683,242.0151,971.7591
T_251,303.7082,912.9510,1360.9040,1361.0775,1610.0064,1538.8403,1721.4741,1443.9989
T_252,749.5011,1285.7483,535.3334,906.8631,977.5338,1897.1649,343.9911,430.8812
T_253,1248.6942,1742.9065,706.5187,911.9294,667.1627,1953.4148,270.9643,1640.2627
T_254,754.2917,980.1687,1894.9278,1404.4144,969.2009,886.7873,616.6473,563.1786
T_255,527.6370,1527.6475,1855.8387,1861.2381,1817.3150,1655.7122,1270.8214,1518.8643
T_256,1009.9386,1209.1328,361.8881,1292.2710,865.4625,1378.2448,1390.3865,688.5270
T_257,1376.1663,484.1974,900.9061,1004.9236,1658.1496,1330.0857,504.5964,350.2934
T_258,841.9868,1720.6412,806.7858,829.8377,1643.9125,517.0597,674.7981,1862.7138
T_259,869.1009,1972.1548,579.2261,1449.8864,241.3262,482.7530,613.5662,1592.9820
T_260,672.0851,1187.6544,1901.9908,1458.0299,1791.5267,978.6933,974.8003,1376.0468
T_261,1589.7822,1406.4008,228.2481,685.0035,1985.8812,1611.7237,905.0290,1197.5513
T_262,1223.0511,1705.5453,1219.2513,296.6738,1048.9264,640.9837,1874.9518,692.8788
T_263,734.3347,499.1742,623.1701,893.3076,999.0187,1940.5001,647.2008,1093.4133
T_264,1870.6312,1307.9241,532.8386,670.4952,1428.0949,1046.5665,558.7667,1863.2935
T_265,945.8409,1430.7390,1240.0555,437.5118,488.8116,1989.7946,1876.8327,1257.3772
T_266,1267.1258,1381.6749,426.8353,535.7809,1263.5017,516.8924,744.0556,231.1013
T_267,1312.7026,1409.1120,923.6952,1492.3525,555.5232,281.4926,577.0281,1649.2821
T_268,959.2000,1134.8349,814.3722,877.9570,1278.8851,434.5338,1769.4563,376.4846
T_269,1346.7787,1355.9578,1350.8328,1618.1874,1400.9283,1637.4400,404.0672,744.5401
T_270,622.3416,1365.7929,1626.1818,1617.3439,1713.6648,311.4200,1829.9115,1553.7388
T_271,763.8686,501.7373,1357.7926,218.9830,322.8713,1066.4142,1507.7703,864.3483
T_272,1053.7108,1590.7733,1478.3118,1353.9767,1375.4224,1198.8757,1978.4921,1032.5920
T_273,1612.2185,250.3507,1189.0022,1907.5440,1166.0596,1125.8681,830.1730,1675.2626
T_274,1205.0447,379.1550,1070.0109,1189.7303,655.3108,959.6843,1935.6173,847.7800
T_275,1304.9234,1260.6334,314.0885,977.1479,1076.7413,1750.4734,253.6132,480.3645
T_276,1848.1874,686.4845,764.4766,1810.1549,359.1282,1050.0905,1369.1177,1423.4659
T_277,1387.3008,793.5899,205.1253,1663.3141,1122.4178,1922.3676,587.6792,1638.0004
T_278,1671.5642,1682.5300,1013.9382,1943.7163,1996.4033,518.0400,409.0375,294.0266
T_279,1655.1560,830.5318,249.0534,314.7890,1084.7872,1201.3442,1955.8507,1861.7452
T_280,1996.7375,908.6377,259.3565,679.5751,561.3915,1020.0181,1516.1343,354.9542
T_281,1010.0373,1646.5450,1802.4295,1861.7209,954.5590,472.3032,1725.3622,1382.5558
T_282,872.9542,676.0881,1305.5837,1394.2113,936.5352,309.8969,483.9612,1530.1474
T_283,477.4470,670.4500,354.9989,1528.5964,1001.0371,1254.3287,538.6787,385.9566
T_284,837.7392,343.3801,1666.5767,413.7800,1863.0111,1908.1041,1276.6089,851.5461
T_285,366.3957,858.9840,1133.6790,549.8582,715.6105,547.3166,1339.4676,1382.8529
T_286,1105.1696,866.4976,1441.8348,608.6991,1895.7606,761.6394,1125.2100,1886.8406
T_287,624.6765,729.2091,402.1280,1890.9415,865.0192,1987.5379,1353.9171,1755.7086
