TP,P_0,P_1
T_240,369.6408,651.1756
T_241,1672.2740,1854.1145
T_242,1869.4883,396.3913
T_243,1945.2714,1572.5971
T_244,268.6092,1348.6760
T_245,594.3668,1435.3951
T_246,1926.4756,1110.7099
T_247,231.7464,1698.0473
T_248,1951.6829,1724.9361
T_249,1204.9935,851.1110
T_250,1726.2052,1409.9410
T_251,1066.9609,1425.6379
T_252,709.4924,1300.3418
T_253,1028.9932,853.0767
T_254,1136.2581,912.9361
T_255,1110.9036,450.0357
T_256,405.5328,748.5467
T_257,1119.4005,1263.3752
T_258,988.0104,1600.5642
T_259,1400.7298,271.0008
T_260,258.8410,1936.3797
T_261,478.8241,1202.7495
T_262,926.1916,891.8219
T_263,1100.6132,1035.7343
T_264,638.2491,1615.0980
T_265,636.0211,1437.5135
T_266,821.8562,358.4876
T_267,1034.7634,959.6998
T_268,1584.2147,446.6361
T_269,1344.6221,769.1465
T_270,1367.3981,1292.1947
T_271,636.3390,1355.6731
T_272,437.7724,344.3311
T_273,1229.8623,1377.9289
T_274,1991.3095,968.3712
T_275,910.0370,551.1187
T_276,524.2063,1133.9928
T_277,792.2701,1789.8255
T_278,1131.1170,1864.2114
T_279,699.4463,1817.6705
T_280,399.7286,1993.2589
T_281,414.8276,1521.1601
T_282,476.9150,1673.3901
T_283,1628.1795,247.0452
T_284,1713.7832,359.7007
T_285,1679.1605,741.3743
T_286,455.9421,831.5833
T_287,903.6027,966.6462
T_288,1500.0407,1123.1509
T_289,964.9771,781.8605
T_290,1661.9597,1722.6843
T_291,1044.4248,1669.8779
T_292,905.0610,284.9024
T_293,1113.3071,1687.8634
T_294,1566.2175,1244.9379
T_295,1828.5828,1720.0033
T_296,1747.1898,1526.9516
T_297,569.4178,1374.1392
T_298,1077.3672,1115.1790
T_299,1078.7581,764.3823
