TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_51,2.57,2.85,3.04,2.15,2.40,2.65,2.22,2.32
T_52,2.19,2.93,2.85,2.01,2.46,2.40,2.32,2.57
T_53,2.32,2.61,2.90,1.96,2.23,2.60,2.08,2.55
T_54,2.23,2.61,2.91,2.56,2.47,2.34,2.49,2.65
T_55,2.40,2.99,2.92,2.15,2.72,2.76,2.42,2.40
T_56,2.38,2.77,2.70,2.27,2.16,2.96,2.19,2.47
T_57,2.01,2.68,2.86,2.35,2.34,2.60,2.27,2.58
T_58,2.44,2.76,2.74,2.44,2.25,2.57,2.40,2.67
T_59,2.24,2.75,2.82,2.32,2.56,2.60,2.58,2.53
T_60,2.64,2.95,2.64,2.35,2.45,2.70,2.28,2.57
T_61,2.47,2.63,2.87,2.31,2.52,2.49,2.39,2.59
T_62,2.48,2.75,2.87,2.15,2.25,2.58,2.20,2.48
T_63,1.98,2.79,2.67,2.36,2.47,2.60,2.29,2.66
T_64,2.60,2.89,2.87,2.10,2.45,2.45,2.52,2.54
T_65,2.35,2.97,2.93,2.18,2.34,2.54,2.23,2.52
T_66,2.14,2.92,2.77,2.17,2.42,2.56,2.51,2.65
T_67,2.39,3.04,2.75,2.29,2.49,2.59,2.24,2.43
T_68,2.65,2.80,2.60,2.43,2.21,2.55,2.05,2.33
T_69,2.10,2.62,2.73,2.05,2.17,2.53,2.35,2.51
T_70,2.50,3.02,2.68,2.35,2.20,2.45,2.45,2.43
T_71,2.29,2.59,2.85,1.87,2.30,2.70,2.50,2.54
T_72,2.26,2.81,2.90,2.35,2.45,2.31,2.21,2.35
T_73,2.28,2.74,2.73,2.17,2.50,2.55,2.11,2.15
T_74,2.22,2.99,2.96,2.23,2.28,2.40,2.30,2.57
T_75,2.37,2.67,2.74,2.28,2.63,2.45,2.43,2.85
T_76,2.38,2.75,2.60,2.31,2.34,2.47,2.02,2.52
T_77,2.49,2.83,3.11,2.31,2.23,2.54,2.18,2.32
T_78,2.54,3.02,3.03,2.26,2.13,2.42,2.44,2.42
T_79,2.29,2.66,2.85,2.43,2.19,2.62,1.88,2.36
T_80,2.50,3.18,2.81,2.39,2.11,2.61,2.36,2.27
T_81,2.17,2.89,2.84,2.32,2.34,2.76,2.16,2.75
T_82,2.43,2.61,2.85,2.29,2.07,2.77,2.37,2.55
T_83,2.18,2.60,2.99,2.31,2.46,2.52,2.44,2.50
T_84,2.26,2.93,3.00,2.40,2.44,2.65,2.31,2.32
T_85,2.54,2.65,3.10,2.49,2.39,2.67,2.48,2.53
T_86,2.23,2.91,2.78,2.28,2.26,2.24,2.18,2.80
T_87,2.41,2.70,2.83,2.19,2.50,2.40,2.57,2.51
T_88,2.13,2.77,2.72,2.10,2.40,2.36,2.22,2.41
T_89,2.23,2.58,2.78,2.43,2.42,2.45,2.07,2.56
T_90,2.42,2.86,2.76,2.20,2.31,2.55,2.14,2.14
T_91,2.56,3.04,2.92,2.06,2.28,2.42,2.32,2.45
T_92,2.17,3.00,2.94,2.36,2.53,2.63,2.47,2.33
T_93,2.57,3.06,3.06,2.35,2.46,2.60,2.23,2.23
T_94,2.38,2.77,2.86,2.10,2.09,2.22,2.38,2.50
T_95,2.67,2.59,2.71,2.30,2.29,2.30,2.33,2.70
T_96,2.29,2.68,2.83,2.33,1.85,2.53,2.12,2.71
T_97,2.26,2.86,2.54,2.35,2.24,2.74,2.18,2.46
T_98,2.39,2.67,2.54,2.19,2.35,2.53,2.15,2.48
T_99,2.18,2.92,2.90,2.00,2.50,2.47,2.23,2.50
T_100,2.36,2.97,2.71,2.40,2.15,2.62,2.34,2.23
T_101,2.33,3.05,2.67,2.07,2.34,2.74,2.56,2.28
T_102,2.65,2.85,2.95,2.35,2.42,2.76,2.43,2.42
T_103,2.39,2.87,2.67,2.46,2.36,2.69,2.24,2.53
T_104,2.15,2.68,2.70,2.14,2.43,2.66,2.14,2.53
T_105,2.15,2.67,2.69,2.38,2.44,2.52,2.40,2.49
T_106,2.20,2.89,2.79,2.32,2.56,2.61,2.36,2.41
T_107,2.04,2.75,2.97,2.33,2.09,2.81,2.40,2.51
T_108,2.02,2.69,2.92,2.11,2.28,2.29,2.19,2.33
T_109,2.65,2.86,2.73,2.51,2.57,2.68,2.31,2.52
T_110,2.22,2.45,3.07,2.31,2.55,2.36,2.48,2.76
T_111,2.53,2.81,2.65,2.09,2.16,2.66,2.53,2.54
T_112,2.23,2.96,2.77,2.34,2.38,2.65,2.12,2.38
T_113,2.28,2.70,2.85,2.34,2.39,2.45,2.65,2.34
T_114,2.09,2.65,2.72,2.13,2.52,2.51,2.49,2.27
T_115,2.52,2.95,2.86,2.12,2.16,2.45,2.28,2.21
T_116,2.28,2.84,2.75,2.30,2.37,2.35,2.42,2.35
T_117,2.58,2.93,2.96,2.42,2.41,2.65,2.29,2.59
T_118,2.23,2.69,2.88,2.29,2.45,2.41,2.50,2.61
T_119,2.64,2.94,3.03,2.10,2.13,2.31,2.36,2.51
T_120,2.56,2.66,2.81,2.28,2.50,2.72,2.25,2.67
T_121,2.12,2.83,2.73,2.33,2.51,2.53,2.34,2.65
T_122,2.40,2.90,2.73,2.69,2.50,2.71,2.19,2.49
T_123,2.19,2.73,2.88,2.29,2.62,2.62,2.49,2.88
T_124,2.17,3.33,2.75,2.22,2.55,2.76,2.16,2.49
T_125,2.35,2.83,3.15,2.32,2.54,2.44,2.40,2.58
T_126,2.46,2.88,2.82,2.57,2.31,2.57,2.30,2.48
T_127,2.54,2.98,2.52,2.20,2.25,2.70,2.08,2.86
T_128,2.29,2.56,2.72,2.06,2.62,2.57,2.07,2.61
T_129,2.48,2.94,2.82,2.20,2.31,2.41,2.24,2.42
T_130,2.42,2.76,2.67,2.54,2.34,2.30,2.23,2.65
T_131,2.34,2.82,2.61,2.29,2.34,2.35,2.07,2.48
T_132,2.20,2.86,2.93,2.35,2.05,2.56,2.35,2.54
T_133,2.34,2.62,2.90,2.24,2.20,2.61,1.92,2.86
T_134,2.86,2.90,2.66,2.35,2.21,2.56,2.23,2.32
T_135,2.20,2.81,3.01,2.35,2.08,2.53,2.35,2.50
T_136,2.43,2.71,3.03,2.39,2.33,2.50,2.21,2.55
T_137,2.20,3.00,2.80,2.08,2.36,2.49,2.17,2.56
T_138,2.54,2.74,2.82,2.09,2.24,2.30,2.38,2.03
T_139,2.60,2.87,2.65,2.51,2.59,2.66,2.03,2.43
T_140,2.53,2.98,2.98,2.26,2.42,2.61,2.47,2.28
T_141,2.63,2.79,2.61,2.41,2.24,2.76,2.32,2.63
T_142,2.32,2.99,2.67,2.30,2.26,2.31,2.41,2.46
T_143,2.58,2.66,2.86,2.39,2.30,2.50,2.11,2.50
T_144,2.21,2.98,2.75,2.11,2.51,2.34,2.15,2.61
T_145,2.57,2.79,2.85,1.97,2.53,2.62,2.34,2.31
T_146,2.56,2.87,2.81,2.01,2.46,2.33,2.22,2.52
T_147,2.24,2.64,3.02,2.39,2.46,2.61,2.61,2.34
T_148,2.48,2.83,2.84,2.38,2.10,2.47,2.36,2.43
T_149,2.18,2.89,2.77,2.17,2.30,2.65,2.24,2.73
T_150,2.13,2.64,3.18,2.20,2.41,2.78,2.46,2.60
T_151,2.13,2.31,2.70,2.23,2.55,2.69,2.27,2.36
T_152,2.17,2.65,2.68,2.19,2.32,2.60,2.10,2.61
T_153,2.28,2.56,2.99,2.35,2.27,2.51,2.24,2.54
T_154,2.32,2.56,2.68,2.44,2.58,2.83,2.40,2.64
T_155,2.59,2.57,2.85,2.32,1.95,2.63,2.36,2.66
T_156,2.30,2.67,2.91,2.28,2.20,2.53,2.51,2.41
T_157,2.21,2.55,2.74,2.01,2.54,2.30,2.31,2.67
T_158,2.44,3.05,2.88,2.36,2.47,2.77,2.23,2.54
T_159,2.30,2.69,2.84,2.21,2.30,2.66,2.10,2.32
T_160,2.35,2.78,2.82,2.24,2.28,2.52,1.74,2.58
T_161,2.39,2.62,2.73,2.36,2.59,2.42,2.35,2.45
T_162,2.40,2.76,3.08,2.33,2.27,2.46,2.15,2.69
T_163,2.23,2.97,3.00,2.27,2.41,2.64,2.42,2.47
T_164,2.30,2.86,2.74,2.00,2.77,2.47,2.19,2.66
T_165,2.47,2.95,2.93,2.08,2.45,2.59,2.20,2.63
T_166,2.28,2.80,2.91,2.08,2.39,2.40,2.19,2.42
T_167,2.30,2.83,3.04,2.42,2.41,2.48,2.63,2.45
T_168,2.38,2.68,2.85,2.25,2.50,2.57,2.23,2.75
T_169,2.40,2.76,2.90,1.92,2.15,2.45,2.24,2.70
T_170,2.40,2.75,2.79,2.26,2.20,2.65,2.41,2.65
T_171,2.42,2.90,2.88,2.41,2.18,2.63,2.06,2.19
T_172,2.33,2.76,2.78,2.40,2.37,2.26,2.30,2.39
T_173,2.14,2.72,2.73,1.99,2.31,2.61,2.16,2.42
T_174,2.43,2.80,2.80,2.44,2.36,2.40,2.17,2.52
T_175,2.20,2.85,2.64,2.25,2.53,2.77,1.83,2.45
T_176,2.79,2.65,3.03,2.45,2.33,2.47,2.02,2.60
T_177,2.38,2.71,3.15,2.51,2.59,2.55,2.36,2.43
T_178,2.29,3.13,2.84,2.55,2.39,2.47,2.37,2.64
T_179,2.46,2.94,2.89,2.33,2.58,2.69,2.16,2.50
T_180,2.55,2.60,2.97,2.12,2.51,2.37,2.12,2.65
T_181,2.56,2.84,2.80,1.95,2.66,2.41,2.35,2.48
T_182,2.38,2.73,2.94,2.41,2.53,2.31,2.24,2.51
T_183,2.49,2.56,2.82,2.55,2.53,2.45,2.50,2.33
T_184,2.44,2.73,2.65,2.44,2.49,2.63,2.41,2.54
T_185,2.35,2.62,2.80,2.27,2.41,2.42,2.27,2.54
T_186,2.11,2.96,2.69,2.28,2.23,2.59,2.11,2.51
T_187,2.46,2.91,2.90,2.35,2.40,2.73,2.21,2.47
T_188,1.95,2.92,2.84,2.34,2.28,2.60,2.20,2.55
T_189,2.20,2.74,3.02,2.18,2.22,2.42,2.43,2.54
T_190,2.54,2.56,2.60,2.04,2.33,2.61,2.28,2.45
T_191,2.36,2.65,2.86,2.38,2.59,2.28,2.36,2.23
T_192,2.33,2.91,2.78,2.19,2.49,2.86,2.33,2.72
T_193,2.20,2.69,2.96,2.24,2.34,2.54,2.38,2.44
T_194,2.21,2.75,2.68,2.16,2.18,2.47,1.91,2.70
T_195,2.23,2.72,2.61,2.47,2.31,2.34,2.41,2.62
T_196,2.13,2.80,2.79,1.96,2.53,2.47,2.35,2.50
T_197,1.99,2.67,2.70,2.24,2.45,2.54,2.30,2.55
T_198,2.49,2.73,2.65,2.42,2.51,2.74,2.31,2.36
T_199,2.58,3.06,2.86,2.22,2.25,2.42,2.22,2.46
T_200,2.24,3.13,2.89,2.24,2.37,2.49,2.49,2.70
T_201,2.45,2.87,2.81,2.07,2.53,2.49,2.16,2.62
T_202,2.15,2.53,2.85,2.32,2.56,2.37,2.30,2.77
T_203,2.39,3.08,2.63,2.30,2.16,2.46,2.26,2.59
T_204,2.24,2.76,3.11,2.13,2.25,2.55,2.26,2.56
T_205,2.47,2.52,2.86,2.08,2.47,2.29,2.31,2.43
T_206,2.34,2.71,2.86,2.28,2.44,2.64,2.08,2.32
T_207,2.14,2.93,2.86,2.20,2.27,2.47,2.33,2.38
T_208,2.42,2.65,2.99,2.21,2.39,2.37,2.46,2.40
T_209,2.58,2.76,3.00,2.21,2.08,2.54,2.14,2.48
T_210,2.33,2.68,2.66,2.58,2.27,2.65,2.45,2.64
T_211,2.33,2.47,2.86,2.30,2.31,2.62,2.19,2.70
T_212,2.34,3.02,3.00,2.42,2.25,2.34,2.44,2.43
T_213,2.35,2.77,2.99,2.39,2.12,2.48,2.36,2.73
T_214,2.52,2.76,3.07,2.37,2.36,2.50,2.19,2.65
T_215,2.53,2.95,2.89,2.26,2.86,2.60,2.28,2.69
T_216,2.02,2.45,2.71,2.33,2.60,2.81,2.40,2.66
T_217,2.52,2.88,2.84,2.21,2.38,2.51,2.08,2.49
T_218,2.30,2.80,2.76,2.16,2.40,2.33,2.41,2.73
T_219,2.58,2.78,2.69,2.56,2.41,2.56,2.36,2.66
T_220,2.40,2.73,2.78,2.38,2.10,2.42,2.33,2.62
T_221,2.60,2.92,2.82,2.39,2.34,2.62,2.17,2.58
T_222,2.26,2.47,2.93,2.08,2.35,2.52,2.07,2.49
T_223,2.13,2.81,2.89,2.19,2.57,2.36,2.45,2.40
T_224,2.37,2.87,2.75,2.30,2.50,2.42,2.40,2.37
T_225,2.48,2.84,2.69,2.46,2.33,2.44,2.18,2.51
T_226,2.44,3.12,2.64,2.28,2.32,2.97,2.24,2.43
T_227,2.45,2.57,2.76,2.25,2.32,2.13,2.52,2.50
T_228,2.37,2.62,2.70,2.42,2.48,2.82,2.22,2.72
T_229,2.44,2.88,2.72,2.03,1.95,2.57,2.28,2.35
T_230,2.21,2.94,3.01,2.25,2.45,2.68,2.24,2.42
T_231,2.31,2.86,2.85,2.02,2.54,2.54,2.00,2.46
T_232,2.10,2.93,2.65,2.29,2.15,2.62,2.60,2.61
T_233,2.33,2.69,2.83,2.29,2.27,2.70,2.43,2.45
T_234,2.29,2.93,2.86,2.13,2.38,2.51,2.50,2.57
T_235,2.34,2.72,2.99,2.33,2.21,2.59,2.11,2.60
T_236,2.49,2.69,2.84,2.69,2.52,2.54,2.39,2.66
T_237,2.34,2.82,2.93,2.19,2.50,2.89,2.32,2.58
T_238,2.01,2.54,2.78,2.23,2.32,2.36,2.28,2.55
T_239,2.54,3.00,2.77,2.14,2.45,2.62,2.34,2.66
T_240,2.36,2.80,2.87,2.53,2.23,2.72,2.45,2.62
T_241,2.45,2.97,2.77,2.17,2.31,2.41,2.10,2.32
T_242,2.21,2.46,2.82,2.36,2.49,2.50,2.56,2.70
T_243,2.46,2.75,2.67,2.26,2.49,2.85,2.10,2.52
T_244,2.56,2.94,2.76,2.37,2.43,2.31,2.44,2.53
T_245,2.09,2.64,2.76,2.24,2.20,2.28,2.26,2.76
T_246,2.52,2.99,2.67,2.06,2.14,2.45,2.19,2.31
T_247,2.19,2.95,2.80,2.36,2.40,2.66,2.45,2.69
T_248,2.22,3.16,2.75,2.31,2.33,2.49,2.12,2.48
T_249,2.33,2.65,2.78,2.22,2.45,2.36,2.47,2.27
T_250,2.65,2.82,2.86,2.29,2.13,2.47,2.26,2.40
T_251,2.06,2.64,2.97,2.48,2.24,2.75,2.24,2.48
T_252,2.24,2.75,2.70,2.17,2.33,2.64,2.15,2.65
T_253,2.34,2.73,2.84,2.06,2.29,2.39,2.52,2.84
T_254,2.43,2.43,3.08,2.22,2.50,2.31,2.46,2.65
T_255,2.43,3.14,2.65,2.24,2.28,2.56,2.41,2.31
T_256,2.40,2.60,3.14,2.36,2.32,2.31,2.28,2.50
T_257,2.18,2.76,2.91,2.52,2.27,2.39,2.23,2.56
T_258,2.45,2.92,2.88,2.54,2.41,2.56,1.93,2.38
T_259,2.49,2.69,2.93,2.33,2.52,2.51,2.42,2.75
T_260,2.17,2.88,2.91,2.14,2.60,2.60,2.24,2.36
T_261,2.22,2.59,2.91,2.44,2.62,2.89,2.14,2.61
T_262,2.39,2.76,3.00,2.32,2.47,2.69,2.71,2.84
T_263,2.38,2.86,2.65,2.25,2.26,2.32,2.33,2.88
T_264,2.41,3.08,2.90,2.19,2.32,2.44,2.55,2.73
T_265,2.15,2.76,2.66,2.25,2.35,2.75,2.32,2.63
T_266,2.27,2.72,2.91,2.16,2.34,2.27,2.38,2.64
T_267,2.26,2.80,2.82,2.44,2.59,2.63,2.22,2.36
T_268,2.54,2.97,2.80,2.17,2.22,2.56,2.23,2.23
T_269,2.32,2.79,2.96,2.35,2.38,2.37,2.27,2.46
T_270,2.26,3.07,2.89,2.11,2.27,2.44,2.26,2.71
T_271,2.20,2.68,3.16,2.60,2.33,2.74,2.27,2.48
T_272,2.45,2.64,2.87,2.18,2.48,2.60,2.10,2.46
T_273,2.51,2.60,2.89,2.05,2.41,2.55,2.35,2.38
T_274,2.10,2.66,2.93,2.08,2.67,2.74,2.19,2.52
T_275,2.35,2.73,2.73,2.19,2.71,2.72,2.38,2.64
T_276,2.41,2.87,2.96,2.38,2.38,2.45,2.61,2.72
T_277,2.63,2.96,2.76,2.35,2.43,2.82,2.48,2.23
T_278,2.44,2.96,2.58,2.16,2.61,2.43,2.36,2.63
T_279,2.54,2.77,2.85,1.88,2.46,2.83,2.09,2.60
T_280,2.34,3.02,3.07,2.18,2.59,2.48,2.05,2.77
T_281,2.12,2.95,2.73,1.82,2.32,2.61,2.35,2.57
T_282,2.12,2.83,2.50,2.31,2.30,2.36,2.35,2.54
T_283,2.23,2.61,2.69,2.13,2.28,2.39,2.27,2.52
T_284,2.35,2.80,2.85,2.27,2.33,2.50,2.56,2.83
T_285,2.29,2.84,2.71,2.51,2.19,2.24,2.38,2.45
T_286,2.26,2.71,2.67,2.29,2.44,2.56,2.32,2.57
T_287,2.61,2.92,2.90,2.34,2.23,2.65,2.59,2.50
T_288,1.97,2.74,3.04,2.20,2.28,2.39,2.45,2.37
T_289,2.29,2.81,2.88,2.45,2.21,2.57,2.34,2.39
T_290,2.70,2.90,2.76,2.33,2.33,2.75,2.28,2.56
T_291,2.38,2.83,2.89,1.97,2.29,2.62,2.14,2.55
T_292,2.23,2.64,2.72,2.34,2.32,2.45,2.20,2.35
T_293,2.16,2.74,2.97,2.06,2.88,2.51,2.04,2.54
T_294,2.46,2.74,2.97,2.33,2.37,2.69,2.37,2.56
T_295,2.44,2.53,2.71,2.12,2.15,2.81,2.08,2.59
T_296,2.46,2.67,2.82,2.37,2.08,2.44,2.09,2.59
T_297,2.14,2.77,2.74,2.19,2.43,2.69,2.37,2.41
T_298,2.35,2.65,3.01,2.03,2.54,2.53,2.54,2.69
T_299,2.30,3.05,2.73,2.02,2.47,2.47,2.18,2.34
T_300,2.40,2.82,2.81,2.13,2.24,2.33,2.24,2.44
T_301,2.09,2.81,3.08,2.20,2.30,2.18,2.14,2.72
T_302,2.42,2.72,2.61,2.33,2.48,2.80,2.33,2.56
T_303,2.57,2.91,2.87,2.17,2.34,2.36,2.23,2.67
T_304,2.13,2.74,2.92,2.37,2.58,2.64,2.52,2.50
T_305,2.47,2.77,2.39,2.44,2.37,2.52,2.29,2.53
T_306,2.70,2.62,2.50,2.37,2.39,2.16,2.20,2.45
T_307,2.47,3.03,2.86,2.17,2.39,2.74,2.00,2.67
T_308,2.33,2.78,2.73,2.12,2.20,2.47,2.04,2.41
T_309,2.35,2.80,2.85,2.44,2.40,2.82,2.06,2.44
T_310,2.25,2.75,2.70,2.10,2.46,2.78,2.23,2.40
T_311,2.37,2.91,2.91,2.24,2.44,2.82,2.42,2.40
T_312,2.18,2.71,2.73,2.37,2.62,2.65,2.17,2.48
T_313,2.34,2.56,2.96,2.32,2.46,2.68,2.21,2.41
T_314,2.21,2.72,3.20,2.18,2.37,2.64,2.45,2.53
T_315,2.12,2.90,2.65,2.17,2.21,2.52,2.13,2.38
T_316,2.56,2.67,2.96,2.34,2.41,2.50,2.15,2.60
T_317,2.05,2.68,2.45,2.22,2.42,2.70,2.20,2.74
T_318,2.61,2.56,2.53,2.26,2.50,2.65,2.43,2.38
T_319,2.00,2.74,3.07,2.30,2.48,2.66,2.60,2.35
T_320,2.48,2.71,2.72,2.35,2.41,2.63,2.60,2.66
T_321,2.36,3.14,2.93,2.13,2.23,2.79,2.25,2.40
T_322,2.09,2.60,2.84,2.27,2.38,2.65,2.36,2.42
T_323,2.38,2.65,2.88,2.40,2.29,2.49,2.24,2.27
T_324,2.18,2.73,2.69,2.11,2.01,2.47,2.42,2.48
T_325,2.19,2.87,2.90,1.90,2.56,2.21,2.30,2.48
T_326,2.47,3.08,2.85,2.36,2.32,2.55,2.28,2.49
T_327,2.16,2.93,2.52,2.24,2.52,2.63,1.95,2.41
T_328,2.04,2.77,2.63,2.18,2.33,2.46,1.97,2.34
T_329,2.51,2.97,2.89,2.16,2.64,2.76,2.37,2.64
T_330,2.40,2.90,3.08,2.41,2.63,2.46,2.21,2.68
T_331,2.34,2.94,2.57,2.24,2.19,2.50,2.34,2.50
T_332,2.29,2.87,3.06,2.21,2.29,2.73,2.14,2.58
T_333,2.44,2.68,2.75,2.29,2.49,2.34,2.35,2.56
T_334,2.39,2.51,2.86,2.53,2.26,2.42,2.56,2.65
T_335,2.32,2.82,2.84,2.26,2.32,2.18,2.19,2.40
T_336,2.25,2.66,2.90,2.51,2.23,2.59,2.16,2.45
T_337,2.50,2.60,2.79,2.63,2.21,2.30,1.97,2.37
T_338,2.56,2.99,3.06,2.43,2.63,2.78,2.45,2.58
T_339,2.41,2.78,2.75,2.55,2.49,2.66,2.16,2.75
T_340,2.91,2.76,2.79,2.53,2.51,2.42,2.12,2.56
T_341,2.37,3.04,2.96,2.41,2.25,2.67,2.08,2.51
T_342,2.36,2.88,2.88,2.51,2.35,2.79,2.36,2.81
T_343,2.57,2.75,2.64,2.00,2.35,2.63,2.21,2.17
T_344,2.38,2.68,2.82,2.27,2.27,2.57,2.34,2.48
T_345,2.38,2.74,2.80,2.23,2.35,2.57,2.24,2.72
T_346,2.28,2.68,3.05,2.40,2.47,2.58,2.49,2.47
T_347,2.41,2.88,2.94,2.07,2.44,2.58,2.60,2.33
T_348,2.08,2.86,2.86,2.05,2.21,2.58,1.99,2.91
T_349,2.23,2.84,2.74,2.34,2.44,2.71,2.01,2.54
T_350,2.17,2.96,2.83,2.25,2.10,2.68,2.25,2.79
T_351,2.00,2.82,2.97,2.19,2.67,2.57,2.23,2.34
T_352,2.50,2.90,2.87,2.49,2.50,2.77,2.18,2.44
T_353,2.29,2.75,2.76,2.30,2.26,2.53,2.36,2.60
T_354,2.20,3.06,2.71,2.26,2.29,2.55,2.19,2.60
T_355,2.39,2.83,2.95,2.26,2.29,2.59,2.36,2.44
T_356,2.15,2.82,2.87,2.26,2.42,2.55,2.09,2.36
T_357,2.59,3.16,2.78,2.17,2.58,2.58,2.37,2.57
T_358,2.55,2.75,2.59,2.30,2.28,2.61,2.35,2.21
T_359,2.12,3.07,2.78,1.84,2.48,2.48,2.29,2.60
T_360,2.52,2.84,2.64,2.37,2.64,2.66,2.39,2.30
T_361,2.37,3.09,2.95,2.05,2.52,2.26,2.16,2.65
T_362,2.51,2.87,2.82,2.23,2.60,2.65,2.17,2.30
T_363,2.37,2.63,2.78,2.48,2.27,2.57,2.40,2.56
T_364,2.21,2.81,2.83,2.71,2.56,2.46,2.08,2.52
T_365,2.09,2.63,3.09,2.09,2.39,2.67,2.36,2.26
T_366,2.17,2.90,2.62,2.34,2.44,2.55,2.13,2.55
T_367,2.26,2.93,2.73,2.44,2.35,2.34,2.12,2.55
T_368,2.50,2.82,2.72,2.37,2.43,2.57,2.55,2.31
T_369,2.43,2.74,2.71,2.19,2.43,2.60,2.32,2.39
T_370,2.38,2.74,2.95,2.28,2.28,2.62,2.38,2.40
T_371,2.56,2.71,2.54,2.08,2.19,2.53,2.11,2.68
T_372,2.06,2.72,2.91,2.06,2.14,2.46,2.34,2.38
T_373,2.16,2.69,2.75,2.35,2.16,2.68,2.39,2.53
T_374,2.28,2.60,2.95,2.29,2.48,2.64,2.24,2.65
T_375,2.35,3.00,2.79,2.24,2.52,2.57,2.49,2.42
T_376,2.08,2.81,2.93,2.13,2.22,2.69,2.34,2.68
T_377,2.25,2.96,2.98,2.50,2.30,2.55,2.44,2.33
T_378,2.54,2.97,2.72,2.20,2.38,2.77,2.32,2.41
T_379,2.49,2.92,2.69,1.94,2.16,2.41,2.40,2.32
T_380,2.57,2.53,2.88,2.20,2.28,2.67,2.61,2.52
T_381,2.25,2.70,2.79,2.07,2.58,2.24,2.50,2.64
T_382,2.18,2.88,2.87,2.47,2.36,2.59,2.24,2.57
T_383,2.38,2.89,2.76,2.39,2.39,2.45,2.37,2.52
T_384,2.20,2.70,2.54,2.30,2.36,2.47,2.41,2.44
T_385,2.32,2.64,2.82,2.23,2.43,2.57,2.25,2.51
