TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_34,7,7,7,11,9,8,10,8,29,29,37,36,27,27,29,23
T_35,10,5,7,11,9,8,10,8,21,21,27,26,20,20,21,17
T_36,29,21,14,32,28,23,30,24,12,12,15,14,11,11,12,9
T_37,12,8,8,9,11,9,12,10,25,25,32,31,23,23,25,20
T_38,39,28,27,42,26,31,41,32,27,27,34,33,25,25,27,21
T_39,36,25,25,39,34,20,37,29,11,11,14,13,10,10,11,8
T_40,13,9,9,14,13,10,9,11,23,23,29,29,21,21,23,18
T_41,13,9,9,14,13,10,14,7,18,19,23,23,17,17,18,14
T_42,12,8,8,13,11,9,12,10,22,31,39,38,28,28,31,24
T_43,20,15,14,22,20,16,21,17,23,16,29,29,21,21,23,18
T_44,38,27,27,41,37,30,39,31,9,9,8,11,8,8,9,7
T_45,18,13,13,20,18,15,19,15,17,18,22,15,16,16,17,14
T_46,33,24,24,36,32,27,35,27,25,25,32,31,16,23,25,20
T_47,28,20,20,30,27,22,29,23,20,20,26,25,19,13,20,16
T_48,29,21,21,32,28,23,30,24,15,16,20,19,14,14,11,12
T_49,10,7,7,11,9,8,10,8,20,20,26,25,19,19,20,11
T_50,32,23,23,35,31,26,34,26,17,18,22,22,16,16,17,14
T_51,17,17,17,26,23,19,25,19,11,11,14,13,10,10,11,8
T_52,13,6,9,14,13,10,14,11,29,29,37,36,27,27,29,23
T_53,28,20,14,30,27,22,29,23,26,26,33,32,24,24,26,20
T_54,30,22,21,23,29,24,32,25,24,24,31,30,22,22,24,19
T_55,12,8,8,13,8,9,12,10,10,10,12,12,9,9,10,8
T_56,26,19,18,28,25,14,27,21,29,29,37,36,27,27,29,23
T_57,20,15,14,22,20,16,15,17,26,26,33,32,24,24,26,20
T_58,34,25,24,37,33,28,36,20,33,33,42,41,30,30,33,26
T_59,26,19,18,28,25,21,27,21,7,10,12,12,9,9,10,8
T_60,10,7,7,11,9,8,10,8,17,12,22,22,16,16,17,14
T_61,19,14,14,21,19,16,20,16,24,24,21,30,22,22,24,19
T_62,28,20,20,30,27,22,29,23,12,12,15,10,11,11,12,9
T_63,23,16,16,25,22,18,24,19,35,35,44,43,22,32,35,27
T_64,17,12,12,19,17,14,18,14,15,16,20,19,14,10,15,12
T_65,23,16,16,25,22,18,24,19,16,17,21,20,15,15,11,13
T_66,19,14,14,21,19,16,20,16,19,20,25,24,18,18,19,11
T_67,12,8,8,13,11,9,12,10,10,10,12,12,9,9,10,8
T_68,23,23,23,35,31,26,34,26,12,13,16,16,12,12,12,10
T_69,29,15,21,32,28,23,30,24,17,18,22,22,16,16,17,14
T_70,27,19,13,29,26,22,28,22,13,14,17,17,12,12,13,11
T_71,11,8,8,8,10,9,11,9,21,21,27,26,20,20,21,17
T_72,32,23,23,35,22,26,34,26,28,28,36,35,26,26,28,22
T_73,29,21,21,32,28,16,30,24,27,27,34,33,25,25,27,21
T_74,37,26,26,40,35,29,27,30,35,35,44,43,32,32,35,27
T_75,11,8,8,12,10,9,11,6,12,13,16,16,12,12,12,10
T_76,19,14,14,21,19,16,20,16,19,28,36,35,26,26,28,22
T_77,27,19,19,29,26,22,28,22,8,5,10,10,7,7,8,6
T_78,13,9,9,14,13,10,14,11,8,8,7,10,7,7,8,6
T_79,39,28,27,42,38,31,41,32,34,34,43,29,31,31,34,26
T_80,17,12,12,19,17,14,18,14,19,20,25,24,12,18,19,15
T_81,18,13,13,20,18,15,19,15,22,22,28,28,20,14,22,17
T_82,22,15,15,23,21,17,23,18,35,35,44,43,32,32,24,27
T_83,11,8,8,12,10,9,11,9,25,25,32,31,23,23,25,14
T_84,14,10,10,15,14,11,15,11,29,29,37,36,27,27,29,23
T_85,14,14,14,21,19,16,20,16,33,33,42,41,30,30,33,26
T_86,15,8,11,16,15,12,16,12,28,28,36,35,26,26,28,22
T_87,24,17,12,26,23,19,25,19,32,32,41,39,29,29,32,25
T_88,31,22,22,24,30,25,33,26,12,12,15,14,11,11,12,9
T_89,30,22,21,33,20,24,32,25,35,35,44,43,32,32,35,27
T_90,39,28,27,42,38,22,41,32,20,20,26,25,19,19,20,16
T_91,14,10,10,15,14,11,10,11,17,18,22,22,16,16,17,14
T_92,31,22,22,34,30,25,33,18,12,13,16,16,12,12,12,10
T_93,9,6,6,9,8,7,9,7,9,14,17,17,12,12,13,11
T_94,9,6,6,9,8,7,9,7,12,9,16,16,12,12,12,10
T_95,38,27,27,41,37,30,39,31,8,8,7,10,7,7,8,6
T_96,22,15,15,23,21,17,23,18,16,17,21,14,15,15,16,13
T_97,25,18,17,27,24,20,26,20,20,20,26,25,13,19,20,16
T_98,39,28,27,42,38,31,41,32,37,38,48,47,35,24,37,29
T_99,28,20,20,30,27,22,29,23,27,27,34,33,25,25,19,21
T_100,32,23,23,35,31,26,34,26,32,32,41,39,29,29,32,17
T_101,37,26,26,40,35,29,38,30,25,25,32,31,23,23,25,20
T_102,22,22,22,34,30,25,33,26,33,33,42,41,30,30,33,26
T_103,36,18,25,39,34,28,37,29,36,36,45,44,33,33,36,28
T_104,13,9,6,14,13,10,14,11,36,36,45,44,33,33,36,28
T_105,39,28,27,29,38,31,41,32,34,34,43,42,31,31,34,26
T_106,23,16,16,25,15,18,24,19,29,29,37,36,27,27,29,23
T_107,19,14,14,21,19,11,20,16,23,23,29,29,21,21,23,18
T_108,14,10,10,15,14,11,10,11,12,13,16,16,12,12,12,10
T_109,15,11,11,16,15,12,16,9,12,12,15,14,11,11,12,9
T_110,14,10,10,15,14,11,15,11,26,37,47,45,34,34,37,29
T_111,9,6,6,9,8,7,9,7,23,16,29,29,21,21,23,18
T_112,18,13,13,20,18,15,19,15,33,33,29,41,30,30,33,26
T_113,23,16,16,25,22,18,24,19,36,37,47,32,34,34,37,29
T_114,42,30,30,46,41,34,44,34,10,10,12,12,6,9,10,8
T_115,30,22,21,33,29,24,32,25,36,36,45,44,33,23,36,28
T_116,36,25,25,39,34,28,37,29,16,17,21,20,15,15,11,13
T_117,28,20,20,30,27,22,29,23,29,29,37,36,27,27,29,16
T_118,37,26,26,40,35,29,38,30,22,22,28,28,20,20,22,17
T_119,28,29,28,43,39,32,42,33,28,28,36,35,26,26,28,22
T_120,40,20,28,43,39,32,42,33,23,23,29,29,21,21,23,18
T_121,38,27,19,41,37,30,39,31,34,34,43,42,31,31,34,26
T_122,32,23,23,25,31,26,34,26,37,38,48,47,35,35,37,29
T_123,26,19,18,28,18,21,27,21,29,29,37,36,27,27,29,23
T_124,14,10,10,15,14,8,15,11,20,20,26,25,19,19,20,16
T_125,13,9,9,14,13,10,9,11,27,27,34,33,25,25,27,21
T_126,41,29,29,44,40,33,43,23,12,13,16,16,12,12,12,10
T_127,26,19,18,28,25,21,27,21,14,20,26,25,19,19,20,16
T_128,37,26,26,40,35,29,38,30,31,22,39,38,28,28,31,24
T_129,41,29,29,44,40,33,43,34,20,20,18,25,19,19,20,16
T_130,11,8,8,12,10,9,11,9,38,39,49,33,36,36,38,30
T_131,40,29,28,43,39,32,42,33,23,23,29,29,15,21,23,18
T_132,18,13,13,20,18,15,19,15,36,36,45,44,33,23,36,28
T_133,32,23,23,35,31,26,34,26,36,36,45,44,33,33,25,28
T_134,25,18,17,27,24,20,26,20,14,15,18,18,13,13,14,8
T_135,31,22,22,34,30,25,33,26,28,28,36,35,26,26,28,22
T_136,18,19,18,28,25,21,27,21,37,38,48,47,35,35,37,29
T_137,38,19,27,41,37,30,39,31,34,34,43,42,31,31,34,26
T_138,42,30,21,46,41,34,44,34,23,23,29,29,21,21,23,18
T_139,32,23,23,25,31,26,34,26,23,23,29,29,21,21,23,18
T_140,23,16,16,25,15,18,24,19,33,33,42,41,30,30,33,26
T_141,30,22,21,33,29,17,32,25,24,24,31,30,22,22,24,19
T_142,14,10,10,15,14,11,10,11,24,24,31,30,22,22,24,19
T_143,23,16,16,25,22,18,24,13,30,30,38,37,28,28,30,23
T_144,34,25,24,37,33,28,36,28,27,39,49,48,36,36,38,30
T_145,23,16,16,25,22,18,24,19,29,20,37,36,27,27,29,23
T_146,43,31,30,47,42,34,45,35,23,23,21,29,21,21,23,18
T_147,26,19,18,28,25,21,27,21,14,15,18,13,13,13,14,11
T_148,40,29,28,43,39,32,42,33,16,17,21,20,11,15,16,13
T_149,40,29,28,43,39,32,42,33,36,37,47,45,34,24,37,29
T_150,16,12,11,18,16,13,17,13,34,34,43,42,31,31,24,26
T_151,31,22,22,34,30,25,33,26,14,15,18,18,13,13,14,8
T_152,42,30,30,46,41,34,44,34,18,19,23,23,17,17,18,14
T_153,26,27,27,41,37,30,39,31,28,28,36,35,26,26,28,22
T_154,26,13,18,28,25,21,27,21,28,28,36,35,26,26,28,22
T_155,26,19,13,28,25,21,27,21,18,19,23,23,17,17,18,14
T_156,37,26,26,28,35,29,38,30,30,30,38,37,28,28,30,23
T_157,27,19,19,29,18,22,28,22,16,17,21,20,15,15,16,13
T_158,27,19,19,29,26,15,28,22,36,36,45,44,33,33,36,28
T_159,33,24,24,36,32,27,24,27,38,39,49,48,36,36,38,30
T_160,43,31,30,47,42,34,45,25,15,16,20,19,14,14,15,12
T_161,32,23,23,35,31,26,34,26,20,29,37,36,27,27,29,23
T_162,26,19,18,28,25,21,27,21,25,18,32,31,23,23,25,20
T_163,16,12,11,18,16,13,17,13,16,17,15,20,15,15,16,13
T_164,18,13,13,20,18,15,19,15,27,27,34,23,25,25,27,21
T_165,41,29,29,44,40,33,43,34,30,30,38,37,19,28,30,23
T_166,38,27,27,41,37,30,39,31,23,23,29,29,21,15,23,18
T_167,16,12,11,18,16,13,17,13,31,31,39,38,28,28,22,24
T_168,20,15,14,22,20,16,21,17,37,38,48,47,35,35,37,21
T_169,31,22,22,34,30,25,33,26,18,19,23,23,17,17,18,14
T_170,22,22,22,34,30,25,33,26,18,19,23,23,17,17,18,14
T_171,20,10,14,22,20,16,21,17,36,37,47,45,34,34,37,29
T_172,33,24,16,36,32,27,35,27,33,33,42,41,30,30,33,26
T_173,18,13,13,14,18,15,19,15,37,38,48,47,35,35,37,29
T_174,40,29,28,43,27,32,42,33,32,32,41,39,29,29,32,25
T_175,43,31,30,47,42,24,45,35,15,16,20,19,14,14,15,12
T_176,17,12,12,19,17,14,13,14,25,25,32,31,23,23,25,20
T_177,32,23,23,35,31,26,34,19,31,31,39,38,28,28,31,24
T_178,28,20,20,30,27,22,29,23,13,20,25,24,18,18,19,15
T_179,18,13,13,20,18,15,19,15,13,10,17,17,12,12,13,11
T_180,30,22,21,33,29,24,32,25,31,31,27,38,28,28,31,24
T_181,33,24,24,36,32,27,35,27,14,15,18,13,13,13,14,11
T_182,26,19,18,28,25,21,27,21,37,38,48,47,24,35,37,29
T_183,34,25,24,37,33,28,36,28,32,32,41,39,29,21,32,25
T_184,42,30,30,46,41,34,44,34,33,33,42,41,30,30,23,26
T_185,20,15,14,22,20,16,21,17,37,38,48,47,35,35,37,21
T_186,20,15,14,22,20,16,21,17,36,37,47,45,34,34,37,29
T_187,29,29,29,44,40,33,43,34,23,23,29,29,21,21,23,18
T_188,37,18,26,40,35,29,38,30,19,20,25,24,18,18,19,15
T_189,42,30,21,46,41,34,44,34,17,18,22,22,16,16,17,14
T_190,36,25,25,27,34,28,37,29,30,30,38,37,28,28,30,23
T_191,17,12,12,19,12,14,18,14,16,17,21,20,15,15,16,13
T_192,28,20,20,30,27,16,29,23,30,30,38,37,28,28,30,23
T_193,34,25,24,37,33,28,25,28,21,21,27,26,20,20,21,17
T_194,22,15,15,23,21,17,23,12,14,15,18,18,13,13,14,11
T_195,15,11,11,16,15,12,16,12,19,28,36,35,26,26,28,22
T_196,34,25,24,37,33,28,36,28,12,8,15,14,11,11,12,9
T_197,16,12,11,18,16,13,17,13,36,37,33,45,34,34,37,29
T_198,42,30,30,46,41,34,44,34,16,17,21,14,15,15,16,13
T_199,36,25,25,39,34,28,37,29,31,31,39,38,20,28,31,24
T_200,37,26,26,40,35,29,38,30,25,25,32,31,23,16,25,20
T_201,42,30,30,46,41,34,44,34,36,36,45,44,33,33,25,28
T_202,41,29,29,44,40,33,43,34,31,31,39,38,28,28,31,17
T_203,26,19,18,28,25,21,27,21,32,32,41,39,29,29,32,25
T_204,15,15,15,23,21,17,23,18,24,24,31,30,22,22,24,19
T_205,19,10,14,21,19,16,20,16,21,21,27,26,20,20,21,17
T_206,33,24,16,36,32,27,35,27,11,11,14,13,10,10,11,8
T_207,18,13,13,14,18,15,19,15,37,38,48,47,35,35,37,29
T_208,33,24,24,36,23,27,35,27,25,25,32,31,23,23,25,20
T_209,24,17,17,26,23,13,25,19,27,27,34,33,25,25,27,21
T_210,16,12,11,18,16,13,12,13,36,36,45,44,33,33,36,28
T_211,31,22,22,34,30,25,33,18,21,21,27,26,20,20,21,17
T_212,13,9,9,14,13,10,14,11,6,9,11,11,8,8,9,7
T_213,41,29,29,44,40,33,43,34,29,20,37,36,27,27,29,23
T_214,18,13,13,20,18,15,19,15,12,13,11,16,12,12,12,10
T_215,34,25,24,37,33,28,36,28,31,31,39,27,28,28,31,24
T_216,28,20,20,30,27,22,29,23,29,29,37,36,19,27,29,23
T_217,40,29,28,43,39,32,42,33,25,25,32,31,23,16,25,20
T_218,34,25,24,37,33,28,36,28,20,20,26,25,19,19,14,16
T_219,36,25,25,39,34,28,37,29,22,22,28,28,20,20,22,12
T_220,27,19,19,29,26,22,28,22,13,14,17,17,12,12,13,11
T_221,17,17,17,26,23,19,25,19,36,37,47,45,34,34,37,29
T_222,12,6,8,13,11,9,12,10,15,16,20,19,14,14,15,12
T_223,42,30,21,46,41,34,44,34,23,23,29,29,21,21,23,18
T_224,28,20,20,21,27,22,29,23,10,10,12,12,9,9,10,8
T_225,30,22,21,33,20,24,32,25,24,24,31,30,22,22,24,19
T_226,40,29,28,43,39,22,42,33,36,37,47,45,34,34,37,29
T_227,24,17,17,26,23,19,17,19,36,37,47,45,34,34,37,29
T_228,10,7,7,11,9,8,10,6,26,26,33,32,24,24,26,20
T_229,32,23,23,35,31,26,34,26,26,38,48,47,35,35,37,29
T_230,14,10,10,15,14,11,15,11,10,7,12,12,9,9,10,8
T_231,34,25,24,37,33,28,36,28,28,28,25,35,26,26,28,22
T_232,32,23,23,35,31,26,34,26,33,33,42,28,30,30,33,26
T_233,28,20,20,30,27,22,29,23,21,21,27,26,14,20,21,17
T_234,23,16,16,25,22,18,24,19,23,23,29,29,21,15,23,18
T_235,25,18,17,27,24,20,26,20,12,12,15,14,11,11,8,9
T_236,15,11,11,16,15,12,16,12,22,22,28,28,20,20,22,12
T_237,41,29,29,44,40,33,43,34,11,11,14,13,10,10,11,8
T_238,12,12,12,19,17,14,18,14,35,35,44,43,32,32,35,27
T_239,26,13,18,28,25,21,27,21,17,18,22,22,16,16,17,14
T_240,11,8,5,12,10,9,11,9,15,16,20,19,14,14,15,12
T_241,27,19,19,20,26,22,28,22,8,8,10,10,7,7,8,6
T_242,41,29,29,44,28,33,43,34,9,9,11,11,8,8,9,7
T_243,41,29,29,44,40,23,43,34,34,34,43,42,31,31,34,26
T_244,29,21,21,32,28,23,21,24,19,20,25,24,18,18,19,15
T_245,42,30,30,46,41,34,44,24,14,15,18,18,13,13,14,11
T_246,11,8,8,12,10,9,11,9,27,39,49,48,36,36,38,30
T_247,31,22,22,34,30,25,33,26,12,9,16,16,12,12,12,10
T_248,37,26,26,40,35,29,38,30,11,11,9,13,10,10,11,8
T_249,24,17,17,26,23,19,25,19,23,23,29,20,21,21,23,18
T_250,26,19,18,28,25,21,27,21,8,8,10,10,5,7,8,6
T_251,13,9,9,14,13,10,14,11,28,28,36,35,26,18,28,22
T_252,25,18,17,27,24,20,26,20,12,12,15,14,11,11,8,9
T_253,12,8,8,13,11,9,12,10,9,9,11,11,8,8,9,5
T_254,39,28,27,42,38,31,41,32,36,36,45,44,33,33,36,28
T_255,14,14,14,21,19,16,20,16,12,12,15,14,11,11,12,9
